# Language file for DOL
# Language used : ITALIAN
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:				Inglese
Scripts.Players.Chatgroup.Help.Private:			/cg private - Il chat group e' solo ad invito oppure con accesso tramite password
Scripts.Players.Chatgroup.Help.Public:			/cg public - Il chat group e' public e chiunque puo' partecipare digitando /cg join
Scripts.Players.Chatgroup.Help.Remove:			/cg remove [playername] - Espelli il giocatore specificato dal chat group
Scripts.Players.Chatgroup.Help.Usage:			/cg usage:
Scripts.Players.Chatgroup.Help.Who:				/cg who - Elenca tutti i membri del chat group
Scripts.Players.Chatgroup.InChatGroup:			Devi essere in un chat group per usare questo comando.
Scripts.Players.Chatgroup.InviteYourself:		Non puoi invitare te stesso al chat group.	
Scripts.Players.Chatgroup.JoinChatGroup:		Vuoi partecipare al chat group di {0}?	
Scripts.Players.Chatgroup.LeaderCommand:		Devi essere un leader del chat group per usare questo comando.	
Scripts.Players.Chatgroup.LeaderInvite:			Devi essere il leader per invitare un giocatore a partecipare al chat group.
Scripts.Players.Chatgroup.ListenMode:			La modalita' ascolto del chat group e' stata cambiata 
Scripts.Players.Chatgroup.Moderator:			{0} diventa un moderatore.
Scripts.Players.Chatgroup.NoPlayer:				Non ci sono giocatori con quel nome.
Scripts.Players.Chatgroup.NotChatGroupLeader:	Questo giocatore non e' un leader del chat group.
Scripts.Players.Chatgroup.NotChatGroupMember:	Questo giocatore non e' un membro del chat group.
Scripts.Players.Chatgroup.NotPublic:			Questo chat group non e' publico.
Scripts.Players.Chatgroup.OnlyModerator:		Solamente il moderatore puo' parlare in questo chat group.	
Scripts.Players.Chatgroup.OwnChatGroup:			Non puoi entrare a far parte del tuo stesso chat group.
Scripts.Players.Chatgroup.Password:				Password del Chat group: {0}.
Scripts.Players.Chatgroup.PasswordChanged:		Hai cambiato la password del chat group in: {0}.	
Scripts.Players.Chatgroup.PlayerInChatgroup:	{0} e' gia' in un chat group.	
Scripts.Players.Chatgroup.Private:				Il chat group e' ora privato.
Scripts.Players.Chatgroup.Public:				Il chat group e' ora publico.
Scripts.Players.Chatgroup.Usage:				Utilizzo: /c <text>
Scripts.Players.Chatgroup.UsageInvite:			Utilizzo: /cg invite <playername>"

# /Cmdhelp
Scripts.Players.Cmdhelp.NoCommand:				Il comando {0} non esiste.
Scripts.Players.Cmdhelp.PlvlCommands:			<----------Comandi disponibili per plvl {0}---------->
Scripts.Players.Cmdhelp.Usage:				>----------Utilizzo di {0}----------<

# /Disband
Scripts.Players.Disband.Disbanded:			{o} e' stato espulso dal gruppo.
Scripts.Players.Disband.NoPlayer:			Non ci sono giocatori nel gruppo con quel nome.
Scripts.Players.Disband.NotInGroup:			Non sei in un gruppo.
Scripts.Players.Disband.NotLeader:			Non sei leader del tuo gruppo.
Scripts.Players.Disband.NoYourself:			Non puoi uscire dal gruppo in questo modo.

# /Dismount
Scripts.Players.Dismount:					Non stai montando alcuna cavalcatura!

# /Duel
Scripts.Players.Duel.ChallengesYou:			{0} ti sfida in duello! /duel accept per iniziare, /duel decline per rifiutare.
Scripts.Players.Duel.DuelOptions:			Le opzioni di /duel sono challenge/decline/cancel/surrender/accept
Scripts.Players.Duel.EnemyRealm:			Non puoi sfidare in duello i nemici del tuo reame.
Scripts.Players.Duel.NeedTarget:			Devi selezionare il bersaglio da sfidare in duello!
Scripts.Players.Duel.ConsideringDuel:		Non hai attualmente duelli da accettare.
Scripts.Players.Duel.NotInDuel:				Non sei in duello!
Scripts.Players.Duel.PlayerVsPlayer:		{0} si arrende a {1}!
Scripts.Players.Duel.SafeZone:				Questa e' una zona sicura e non puoi duellare qui!
Scripts.Players.Duel.TargetAccept:			{0} accetta il duello. Inizia la battaglia!
Scripts.Players.Duel.TargetAlreadyChallenging:		{0} sta gia' sfidando qualcuno in duello.
Scripts.Players.Duel.TargetAlreadyConsidering:		{0} sta gia' considerando un duello.
Scripts.Players.Duel.TargetCancel:			{0} annulla il suo invito a duellare.
Scripts.Players.Duel.TargetDeclines:			{0} rifiuta il tuo invito a duellare.
Scripts.Players.Duel.TargetHealth:			Il tuo bersaglio deve essere completamente guarito.
Scripts.Players.Duel.TargetInCombat:			{0} e' in combattimento.
Scripts.Players.Duel.TargetInDuel:			{0} e' gia' in duello.
Scripts.Players.Duel.TargetInGroup:			{0} e' in un gruppo.
Scripts.Players.Duel.TargetSurrender:			{0} si arrende a te!
Scripts.Players.Duel.YouAccept:				Hai accettato il duello! Inizia la battaglia!
Scripts.Players.Duel.YouAlreadyChallenging:		Hai gia' sfidato {0} in duello. Annulla la richiesta prima di sfidare qualcun altro.
Scripts.Players.Duel.YouAlreadyConsidering:		Stai gia' considerando un duello con {0}. Rifiuta la richiesta prima di sfidare qualcuno.
Scripts.Players.Duel.YouCancel:				Annulli il tuo invito a duellare.
Scripts.Players.Duel.YouChallenge:			Sfidi {0} in duello!
Scripts.Players.Duel.YouDecline:			Rifiuti l'invito di {0} a duellare.
Scripts.Players.Duel.YouHaventChallenged:	Non hai sfidato nessuno in duello.
Scripts.Players.Duel.YouHealth:				Devi essere completamente guarito.
Scripts.Players.Duel.YouInCombat:			Sei in combattimento.
Scripts.Players.Duel.YouInDuel:				Sei gia' in duello.
Scripts.Players.Duel.YouInGroup:			Sei in un gruppo.
Scripts.Players.Duel.YouSurrender:			Ti arrendi a {0}!

# SCRIPTS
# /Language
Scripts.Players.Language.Set:				Cambi la lingua dei messaggi del server in {0}.
Scripts.Players.Language.Current:			La tua lingua e' attualmente impostata in: {0}.
