# Language file for DOL
# Language used : ENGLISH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Czech
HousingPlaceItemHandler.DropOnGarden:			You drop the {0} onto your garden !
HousingPlaceItemHandler.DropOnWall:			You drop the {0} onto the wall of your house !
HousingPlaceItemHandler.GardenObjectPlaced:		Garden Object placed. {0} slots remaining.
HousingPlaceItemHandler.HasPorch:			This house already has a porch !
HousingPlaceItemHandler.HasNoPorch:			This house has no porch !
HousingPlaceItemHandler.IndoorObjectPlaced:		Indoor Object placed. {0} slots remaining.
HousingPlaceItemHandler.NoHookpoint:			No hookpoints now !
HousingPlaceItemHandler.PutMoney:			You put money in your house.

# /Housing
Scripts.Player.Housing.BadShieldBanner:			That is not a valid shield or banner object.
Scripts.Player.Housing.CantBeSold:			This item cannot be sold!
Scripts.Player.Housing.CarpetsRemoved:			Your carpets have been removed.
Scripts.Player.Housing.EnteredHouse:			You have entered house number {0}.
Scripts.Player.Housing.GardenItemPlaced:		Garden object placed. {0} slots remaining.
Scripts.Player.Housing.GardenItemPlacedName:		You have placed {0} in your garden.
Scripts.Player.Housing.GardenMaxObjects:		You have already placed 30 objects in your garden. You cannot place more.
Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} now owns a guild house from {1}!
Scripts.Player.Housing.HookPointAdded:			That item has been added to your house.
Scripts.Player.Housing.HookPointCloser:			Stand as close to the housepoint as possible and face the proper direction and press accept.
Scripts.Player.Housing.HookPointID:			The hookpoint ID is: {0}
Scripts.Player.Housing.HookPointLogged:			Logged hookpoint position {0} in error.log!
Scripts.Player.Housing.HookPointLogLoc:			Log this housepoint location?
Scripts.Player.Housing.HookPointNot:			That is not a hookpoint item!
Scripts.Player.Housing.HookPointNotPlaced:		That hookpoint item was not placed.
Scripts.Player.Housing.HookPointAlready: That HookPoint already has an item!
Scripts.Player.Housing.ClearHookPoint: Would you like to clear the current hookpoint?
Scripts.Player.Housing.HookPointCleared: That HookPoint has been cleared.
Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change those materials.
Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change your carpets.
Scripts.Player.Housing.IndoorFloorPlaced:		You have placed {0} on the floor of your house.
Scripts.Player.Housing.IndoorItemPlaced:		Indoor item placed. {0} slots remaining.
Scripts.Player.Housing.IndoorMaxItems:			You have already placed {0} in your house. You cannot place more.
Scripts.Player.Housing.IndoorWallPlaced:		You have placed {0} onto the wall of your house.
Scripts.Player.Housing.InteriorBannersAdded:		Your interior guild banners have been changed.
Scripts.Player.Housing.InteriorBannersRemoved:		Your interior guild banners have been removed.
Scripts.Player.Housing.InteriorShieldsAdded:		Your interior guild shields have been changed.
Scripts.Player.Housing.InteriorShieldsRemoved:		Your interior guild shields have been removed.
Scripts.Player.Housing.LeftHouse:			You have exited house number {0}.
Scripts.Player.Housing.LotAlready:			You already own another lot or house (Number {0})
Scripts.Player.Housing.LotBought:			You just bought this lot for {0}!
Scripts.Player.Housing.LotCost:				It can be bought for {0}.
Scripts.Player.Housing.LotNotItem:			That is not a valid house deed.
Scripts.Player.Housing.LotNotYours:			You do not own this lot!
Scripts.Player.Housing.LotOffer:			Do you wish to buy this lot? It costs {0}.
Scripts.Player.Housing.LotTargeted:			You target lot number {0}.
Scripts.Player.Housing.NotFloorObject:			This item cannot be placed on the floor!
Scripts.Player.Housing.NotHookPoint:			This item cannot be placed on a hookpoint!
Scripts.Player.Housing.NotWallObject:			This item cannot be placed on a wall!
Scripts.Player.Housing.OutdoorBannersAdded:		Your outdoor guild banners have been changed.
Scripts.Player.Housing.OutdoorBannersRemoved:		Your outdoor guild banners have been removed.
Scripts.Player.Housing.OutdoorShieldsAdded:		Your outdoor guild shields have been changed.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Your outdoor guild shields have been removed.
Scripts.Player.Housing.PaidChanges:			You have paid {0} for your changes.
Scripts.Player.Housing.PaidNotEnough:			You do not have enough money to do that!
Scripts.Player.Housing.PorchAlready:			This house already has a porch!
Scripts.Player.Housing.PorchNone:			This house does not have a porch!
Scripts.Player.Housing.PorchNotItem:			This is not a porch item!
Scripts.Player.Housing.TransferToGuild:			Do you want to transfer this house to {0}?

# Styles
# /StyleProcessor
StyleProcessor.ExecuteStyle.BackStrike:			You inflict a critical strike in the back of your target 
StyleProcessor.ExecuteStyle.ExecuteFail:		You fail to execute your {0} perfectly!
StyleProcessor.ExecuteStyle.PerformPerfectly:		You perform your {0} perfectly! {1}
StyleProcessor.ExecuteStyle.PerformsPerfectly:		Your {0} performs {1} perfectly! {2}
StyleProcessor.ExecuteStyle.StyleNameBackstab:		Backstab
StyleProcessor.ExecuteStyle.StyleNameBackstabII:	Backstab II
StyleProcessor.ExecuteStyle.StyleNamePerforateArtery:	Perforate Artery
StyleProcessor.ExecuteStyle.ThroatStrike:		You inflict a critical strike in the throat of your target 
StyleProcessor.TryToUseStyle.AlreadyPreparing:		You are already preparing to use this style! Type /cancelstyle to enable style cancelling.
StyleProcessor.TryToUseStyle.AlreadySelectedStyles:	You have already selected your styles for this round!
StyleProcessor.TryToUseStyle.BackupStyle:		You are now preparing to perform a {0} style as a backup for {1}!
StyleProcessor.TryToUseStyle.CantCombatMode:		You can't enter combat mode while lying down!
StyleProcessor.TryToUseStyle.CantMeleeCombat:		You can't enter melee combat mode with a fired weapon!
StyleProcessor.TryToUseStyle.DualWielding:		You must be dual wielding to use this style!
StyleProcessor.TryToUseStyle.Fatigued:			You are too fatigued to use this style!
StyleProcessor.TryToUseStyle.MustHaveTarget:		You must have a target for your next attack style!
StyleProcessor.TryToUseStyle.NoLongerPreparing:		You are no longer preparing to use your {0} style!
StyleProcessor.TryToUseStyle.PerformStyleBefore:	You must perform the {0} style before this one!
StyleProcessor.TryToUseStyle.PreparePerform:		You prepare to perform a {0}!
StyleProcessor.TryToUseStyle.StyleRequires:		This style requires a {0} weapon!

# TRAINER
# /GameTrainer
GameTrainer.AddGift.NotEnoughSpace:			Not Space inventory space to receive your gift. Please make room.
GameTrainer.GetExamineMessages.RightClick:		[Right click to display a train window]
GameTrainer.GetExamineMessages.YouExamine:		You examine {0}. {1} is {2} and trains members of the {3} class.
GameTrainer.GetExamineMessages.YouTarget:		You target [{0}].
GameTrainer.PromotePlayer.Accepted:			You have been accepted by the {0}!
GameTrainer.PromotePlayer.Says:				{0} says, "{1}"
GameTrainer.PromotePlayer.Upgraded:			You have been upgraded to the {0} class!
GameTrainer.ReceiveItem.RespecFull:			A nice {0}! I added a full respec to use /respec all.
GameTrainer.ReceiveItem.RespecRealm:			Thanks, I added a realm respec to use /respec realm.
GameTrainer.ReceiveItem.RespecSingle:			Thanks, I added a single spec respec to use /respec <linename>

# KING THRONE NPC
CLWeaponNPC.ReceiveItem.RespecCL:			Thanks, I added a single champion skill respec to use /respec cl.
KingNPC.WhisperReceive.IsNowChampion:			You have just embraced on the life of the champions!
KingNPC.WhisperReceive.AlreadyChampion:			You are already a champion!
KingNPC.WhisperReceive.AskForChampion:			Would you like to embrace in the life of [Champions]?

# /EnchanterTrainer
EnchanterTrainer.Interact.PathOfEssence:		{0} says, "Do you choose to train as an Enchanter and follow the Path of Essence? Life as an [Enchanter] is as rewarding as it is dangerous, but it is yours for the asking."
EnchanterTrainer.Interact.QuickStudy:			{0} says, "You are a quick study, {1}. But do not be too hasty. There is always more to learn."
EnchanterTrainer.Interact.SeekElsewhere:		{0} says, "You must seek elsewhere for your training."
EnchanterTrainer.WhisperReceive.CaseEnchanter:		Enchanter
EnchanterTrainer.WhisperReceive.Welcome:		Welcome, {0}. From this day forth you shall be known as an Enchanter. Here, {0}. Take this gift to aid you on your path.

# /gameobjects/CustomNPC
# /GameStableMaster
GameStableMaster.HorseName:				horse
GameStableMaster.UnknownWay:				My horse doesn't know the way to {0} yet.

# /packets/Client/168
# /DetailDisplayHandler
DetailDisplayHandler.GetShortItemInfo.CrafterName:	Crafter : {0}
DetailDisplayHandler.GetShortItemInfo.NoDrop:		 No Drop.
DetailDisplayHandler.GetShortItemInfo.NoSell:		 No Sell.
DetailDisplayHandler.GetShortItemInfo.NoTrade:		 No Trade.
DetailDisplayHandler.HandlePacket.Any:			Any
DetailDisplayHandler.HandlePacket.Back:			(Back)
DetailDisplayHandler.HandlePacket.CannotDropped:	Cannot be dropped or put in your bank.
DetailDisplayHandler.HandlePacket.CannotSold:		Cannot be sold to merchants.
DetailDisplayHandler.HandlePacket.CannotTraded:		Cannot be traded to other players.
DetailDisplayHandler.HandlePacket.ChampionLevel:	 - Requires: Champion Level {0}
DetailDisplayHandler.HandlePacket.ChatItem:		[Chat] {0}/Item: "{1}"
DetailDisplayHandler.HandlePacket.CrafterName:		Crafter : {0}
DetailDisplayHandler.HandlePacket.Damage:		Damage: 
DetailDisplayHandler.HandlePacket.Defense:		Defense: 
DetailDisplayHandler.HandlePacket.DontBelongGuild:	You don't belong to a player guild.
DetailDisplayHandler.HandlePacket.FatigueCost:		Fatigue Cost: 
DetailDisplayHandler.HandlePacket.FollowupStyle:	Followup Style: {0}
DetailDisplayHandler.HandlePacket.Front:		(Front)	
DetailDisplayHandler.HandlePacket.GuildItem:		[Guild] {0}/Item: "{1}"
DetailDisplayHandler.HandlePacket.High:			High
DetailDisplayHandler.HandlePacket.HighBonus:		High Bonus
DetailDisplayHandler.HandlePacket.HighPenalty:		High Penalty
DetailDisplayHandler.HandlePacket.Item:			{0}/Item: "{1}
DetailDisplayHandler.HandlePacket.LevName:		Lev   Name
DetailDisplayHandler.HandlePacket.Low:			Low
DetailDisplayHandler.HandlePacket.LowBonus:		Low Bonus
DetailDisplayHandler.HandlePacket.LowPenalty:		Low Penalty
DetailDisplayHandler.HandlePacket.Medium:		Medium
DetailDisplayHandler.HandlePacket.MediumBonus:		Medium Bonus
DetailDisplayHandler.HandlePacket.MediumPenalty:	Medium Penalty
DetailDisplayHandler.HandlePacket.MustBeInChatGroup:	You must be in a chat group.
DetailDisplayHandler.HandlePacket.MustBeInBattleGroup:	You must be in a battle group.
DetailDisplayHandler.HandlePacket.NoBonus:		No Bonus
DetailDisplayHandler.HandlePacket.NoGroup:		You are not part of a group.
DetailDisplayHandler.HandlePacket.NoInformation:	No special information!
DetailDisplayHandler.HandlePacket.NoPermissionToSpeak:	You don't have permission to speak on the on guild line.	
DetailDisplayHandler.HandlePacket.OnlyModerator:	Only moderator can talk on this chat group.
DetailDisplayHandler.HandlePacket.Opening:		Opening: 
DetailDisplayHandler.HandlePacket.OpeningStyle:		Opening Style: 
DetailDisplayHandler.HandlePacket.Or:			 or {0}
DetailDisplayHandler.HandlePacket.Positional:		Positional 
DetailDisplayHandler.HandlePacket.Side:			(Side)
DetailDisplayHandler.HandlePacket.TargetBlocks:		Target Blocks
DetailDisplayHandler.HandlePacket.TargetEffect:		Target Effect: 
DetailDisplayHandler.HandlePacket.TargetEvades:		Target Evades
DetailDisplayHandler.HandlePacket.TargetFumbles:	Target Fumbles
DetailDisplayHandler.HandlePacket.TargetHits:		Target Hits
DetailDisplayHandler.HandlePacket.TargetMisses:		Target Misses
DetailDisplayHandler.HandlePacket.TargetParrys:		Target Parrys
DetailDisplayHandler.HandlePacket.TargetStyle:		Target Style
DetailDisplayHandler.HandlePacket.ToHit:		To Hit: 
DetailDisplayHandler.HandlePacket.VeryHigh:		Very High
DetailDisplayHandler.HandlePacket.VeryHighBonus:	Very High Bonus	
DetailDisplayHandler.HandlePacket.VeryHighPenalty:	Very High Penalty
DetailDisplayHandler.HandlePacket.VeryLow:		Very Low
DetailDisplayHandler.HandlePacket.VeryLowBonus:		Very Low Bonus
DetailDisplayHandler.HandlePacket.VeryLowPenalty:	Very Low Penalty
DetailDisplayHandler.HandlePacket.VeryStrange:		It's very strange, i cant recognise this item.
DetailDisplayHandler.HandlePacket.WeaponType:		Weapon Type: {0}
DetailDisplayHandler.HandlePacket.YouBlock:		You Block
DetailDisplayHandler.HandlePacket.YouEvade:		You Evade
DetailDisplayHandler.HandlePacket.YouFumble:		You Fumble
DetailDisplayHandler.HandlePacket.YouHit:		You Hit
DetailDisplayHandler.HandlePacket.YouMiss:		You Miss
DetailDisplayHandler.HandlePacket.YouParry:		You Parry
DetailDisplayHandler.WriteClassicArmorInfos.Absorption:	- {0}% Absorption
DetailDisplayHandler.WriteClassicArmorInfos.ArmorMod:	Armor Modifiers:
DetailDisplayHandler.WriteClassicArmorInfos.BaseFactor:	- {0} Base Factor
DetailDisplayHandler.WriteClassicArmorInfos.ClampFact:	- {0} Clamped Factor
DetailDisplayHandler.WriteClassicArmorInfos.Condition:	- {0}% Condition
DetailDisplayHandler.WriteClassicArmorInfos.EffArmor:	Effective Armor:
DetailDisplayHandler.WriteClassicArmorInfos.Factor:	- {0} Factor
DetailDisplayHandler.WriteClassicArmorInfos.Quality:	- {0}% Quality
DetailDisplayHandler.WriteClassicShieldInfos.BaseDPS:	- {0} Base DPS
DetailDisplayHandler.WriteClassicShieldInfos.ClampDPS:	- {0} Clamped DPS
DetailDisplayHandler.WriteClassicShieldInfos.DamageMod:	Damage Modifiers (when used with shield styles):
DetailDisplayHandler.WriteClassicShieldInfos.Large:	- Shield Size : Large
DetailDisplayHandler.WriteClassicShieldInfos.Medium:	- Shield Size : Medium
DetailDisplayHandler.WriteClassicShieldInfos.Small:	- Shield Size : Small
DetailDisplayHandler.WriteClassicShieldInfos.SPD:	- {0} Shield Speed
DetailDisplayHandler.WriteClassicWeaponInfos.BaseDPS:	- {0} Base DPS
DetailDisplayHandler.WriteClassicWeaponInfos.ClampDPS:	- {0} Clamped DPS
DetailDisplayHandler.WriteClassicWeaponInfos.Condition:	- {0}% Condition
DetailDisplayHandler.WriteClassicWeaponInfos.DamageMod:	Damage Modifiers:
DetailDisplayHandler.WriteClassicWeaponInfos.DamageType:Damage Type: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.EffDamage:	Effective Damage:
DetailDisplayHandler.WriteClassicWeaponInfos.Quality:	- {0}% Quality
DetailDisplayHandler.WriteClassicWeaponInfos.SPD:	- {0} Weapon Speed
DetailDisplayHandler.WriteHorseInfo.AdvancedHorse:	This is an advanced horse.
DetailDisplayHandler.WriteHorseInfo.Armor:		- Armor: {0}
DetailDisplayHandler.WriteHorseInfo.Barding:		- Barding: None
DetailDisplayHandler.WriteHorseInfo.BasicHorse:		This is a basic horse.
DetailDisplayHandler.WriteHorseInfo.Food:		- Favorite food: Hay and the occasional apple
DetailDisplayHandler.WriteHorseInfo.MountWindow:	To make this horse your active mount, place this icon in the appropriate slot of your Mount window.
DetailDisplayHandler.WriteHorseInfo.Name:		- Name: {0}.
DetailDisplayHandler.WriteHorseInfo.NameMount:		  (Use /namemount to name your horse.)
DetailDisplayHandler.WriteHorseInfo.Quickbar:		To summon this horse, from your Mount window drag the horse icon to your quickbar, and summon by using the quickbar icon.
DetailDisplayHandler.WriteHorseInfo.RvRZzones:		Can't be summoned in RvR zones.
DetailDisplayHandler.WriteHorseInfo.Speed1:		(+35% speed)
DetailDisplayHandler.WriteHorseInfo.Speed2:		(+45% speed)
DetailDisplayHandler.WriteHorseInfo.Summon:		Click this icon in your quickbar to summon (or dismount) your horse.
DetailDisplayHandler.WriteMagicalBonuses.ChargedMagic:	Charged Magic Ability:
DetailDisplayHandler.WriteMagicalBonuses.Charges:	- {0} Charges
DetailDisplayHandler.WriteMagicalBonuses.FocusBonus:	Focus Bonuses:
DetailDisplayHandler.WriteMagicalBonuses.Level:		- {0} Level
DetailDisplayHandler.WriteMagicalBonuses.LevelRequired:	Level Requirement
DetailDisplayHandler.WriteMagicalBonuses.MagicAbility:	Magical Ability:
DetailDisplayHandler.WriteMagicalBonuses.MagicBonus:	Magical Bonuses:
DetailDisplayHandler.WriteMagicalBonuses.MaxCharges:	- {0} Max
DetailDisplayHandler.WriteMagicalBonuses.StrikeArmor:	- Spell has a chance of casting when enemy strikes at this armor.
DetailDisplayHandler.WriteMagicalBonuses.StrikeEnemy:	- Spell has a chance of casting when this weapon strikes an enemy.
DetailDisplayHandler.WriteMagicalBonuses.UsedItem:	- Spell has a chance of casting when this item is used.
DetailDisplayHandler.WriteMagicalBonuses.UseItem1:	Can use item every: {0}
DetailDisplayHandler.WriteMagicalBonuses.UseItem2:	Can use item every: 3:00 min.
DetailDisplayHandler.WriteMagicalBonuses.UseItem3:	Can use again in: {0}.
DetailDisplayHandler.WritePoisonInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePoisonInfo.Level:		- {0} Level
DetailDisplayHandler.WritePoisonInfo.LevelRequired:	Level Requirement:
DetailDisplayHandler.WritePoisonInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePoisonInfo.ProcAbility:	Offensive Proc Ability:
DetailDisplayHandler.WritePotionInfo.ChargedMagic:	Charged Magic Ability:
DetailDisplayHandler.WritePotionInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePotionInfo.Level:		- {0} Level
DetailDisplayHandler.WritePotionInfo.LevelRequired:	Level Requirement:
DetailDisplayHandler.WritePotionInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePotionInfo.NoUseInCombat:	Cannot be used in combat
DetailDisplayHandler.WritePotionInfo.UseItem2:		Can use item every: 1:00 min
DetailDisplayHandler.WritePotionInfo.UseItem3:		Can use again in: {0}.
DetailDisplayHandler.WriteUsableClasses.UsableBy:	Usable by: 

# /DoorRequestHandler.cs
DoorRequestHandler.OnTick.TooFarAway:			The {0} is too far away!

# /PlayerInitRequestHandler
PlayerInitRequestHandler.AllianceMessage:		Alliance Message: {0}
PlayerInitRequestHandler.FreeLevel:			You are eligible for a free level! Click on your trainer to receive it (or type /freelevel decline to discard your free level).
PlayerInitRequestHandler.GuildMessage:			Guild Message: 
PlayerInitRequestHandler.LevelCap:			You have exceeded the level cap of this battleground!
PlayerInitRequestHandler.OfficerMessage:		Officer Message: {0}
PlayerInitRequestHandler.SaferLocation:			This area isn't currently secure and you are being transported to a safer location.

# /PlayerMoveItemRequestHandler
PlayerMoveItemRequestHandler.TooFarAway:		You are too far away to give anything to {0}.

# /PlayerPositionUpdateHandler
PlayerPositionUpdateHandler.Endurance:			You lose endurance!
PlayerPositionUpdateHandler.Entered:			You have entered {0}.
PlayerPositionUpdateHandler.FallingDamage:		You take falling damage!
PlayerPositionUpdateHandler.FallPercent:		You take {0}% of your max hits in damage.
PlayerPositionUpdateHandler.SafeFall:			The damage was lessened by your Safe Fall ability!
PlayerPositionUpdateHandler.UnknownZone:		Unknown zone, moving to bind point.

# /world
# AbstractArea
AbstractArea.Entered:					(Region) You have entered {0}!
AbstractArea.Left:					(Region) You have left {0}!

# SCRIPTS
# CustomNPC
# /Blacksmith
Scripts.Blacksmith.AbortRepair:				You refuse letting you repair the {0}.
Scripts.Blacksmith.CantRepairThat:			I can't repair that.
Scripts.Blacksmith.GiveObject:				[Give {0} an object to be repaired]
Scripts.Blacksmith.InvalidItem:				Invalid item.
Scripts.Blacksmith.ItsDone:				It's done. Your {0} is ready for combat!
Scripts.Blacksmith.NoNeedRepair:			This object doesn't need to be repaired.
Scripts.Blacksmith.NotEnoughMoney:			You don't have enough money.
Scripts.Blacksmith.ObjectCantRepaired:			This object can't be repaired.
Scripts.Blacksmith.ObjectRatherOld:			Uhh, that {0} was already rather old, I won't be able to repair it once again, so be careful!
Scripts.Blacksmith.RepairCostAccept:			It will cost {0} to repair the {1}. Do you accept this?
Scripts.Blacksmith.Say:					I can repair weapons or armor for you, Just hand me the item you want repaired and I'll see what I can do, for a small fee of course.
Scripts.Blacksmith.StackedObjets:			{0} can't repair stacked objets.
Scripts.Blacksmith.YouExamine:				You examine {0}. {1} is {2} and is a smith.
Scripts.Blacksmith.YouPay:				You pay {0} {1}.
Scripts.Blacksmith.YouTarget:				You target [{0}].

# GameEvents
# /Playerenterexit
Scripts.Events.PlayerEnterExit.Entered:			{0} just entered the game!
Scripts.Events.PlayerEnterExit.Left:			{0} just left the game!
Scripts.Events.PlayerEnterExit.Staff:			[Staff Member] {0}

# GMCommands
# /Ban
Scripts.GM.Ban.AAlreadyBanned:				This account has already been banned.
Scripts.GM.Ban.ABanned:					Account {0} has been banned.
Scripts.GM.Ban.BAlreadyBanned:				These account and IP have already been banned.
Scripts.GM.Ban.BBanned:					Account {0} and IP {1} have been banned.
Scripts.GM.Ban.IAlreadyBanned:				This IP has already been banned.
Scripts.GM.Ban.IBanned:					IP {0} has been banned.
Scripts.GM.Ban.MustTarget:				You must select a target!

# PlayerCommands
# /Advice
Scripts.Players.Advice.Advice:				[ADVICE{0}] {1}: "{2}"
Scripts.Players.Advice.AdvicersOn:			There are {0} advisors online!

# /Advisor
Scripts.Players.Advisor.Off:				You will no longer receive messages from the advice channel.
Scripts.Players.Advisor.On:				You will now receive messages from the advice channel.

# /Afk
Scripts.Players.Afk.Off:				Your AFK flag is now off.
Scripts.Players.Afk.On:					Your AFK flag is now on.

# /Anonymous
Scripts.Players.Anonymous.Error:			Anonymous mode is disabled.
Scripts.Players.Anonymous.Off:				You are no longer anonymous.
Scripts.Players.Anonymous.On:				You are now anonymous.

# /Assist
Scripts.Players.Assist.CantAssistYourself:		You can't assist yourself.
Scripts.Players.Assist.DoesntHaveTarget:	 	doesn't currently have a target.
Scripts.Players.Assist.DontSee:				You don't see {0} around here!
Scripts.Players.Assist.NoTarget:			You have no target.
Scripts.Players.Assist.NotValid:			Target is not valid.
Scripts.Players.Assist.YouAssist:			You assist {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:				Your autoloot is off. You will no longer attempt to automatically loot anything that drops in your area.
Scripts.Players.Autoloot.On:				Your autoloot is on. You will now attempt to automatically loot anything that drops in your area.

# /Autosplit
Scripts.Players.Autosplit.Coins:			The leader switched 
Scripts.Players.Autosplit.InGroup:			You must be in a group to use this command.
Scripts.Players.Autosplit.Leader:			You must be the leader of the group to use this command.
Scripts.Players.Autosplit.Loot:				The leader switched 
Scripts.Players.Autosplit.Off:				The leader switched off the autosplit.
Scripts.Players.Autosplit.On:				The leader switched on the autosplit.
Scripts.Players.Autosplit.Self:				{0} switched 

# /Battlegroup
Scripts.Players.Battlegroup.BattlegroupCount:		There are currently {0} members in your battlegroup.			
Scripts.Players.Battlegroup.BattleGroupLootNormal:	The battlegroup loot type is set to normal.		
Scripts.Players.Battlegroup.BattlegroupLootThresholdOff:The battlegroup lootlevel is currently off.			
Scripts.Players.Battlegroup.BattlegroupLootThresholdOn:	The battlegroup lootlevel is currently {0}.			
Scripts.Players.Battlegroup.BattleGroupLootTreasurer:	The battlegroup loot type is set to go to the treasurer.			
Scripts.Players.Battlegroup.BattlegroupStatus:		The current status of your battlegroup is {0}.			
Scripts.Players.Battlegroup.BattlegroupTreasurerIs:	The treasurer of the battlegroup has been changed to {0}.			
Scripts.Players.Battlegroup.BattlegroupTreasurerIsYou:	You have been made treasuerer of the battlegroup.			
Scripts.Players.Battlegroup.BattlegroupTreasurerOff:	The battlegroup does not currently  have a treasurer.			
Scripts.Players.Battlegroup.BattlegroupTreasurerOn:	You have change the treasurer of the Battlegroup to: {0}.			
Scripts.Players.Battlegroup.Help.Count:			/bg count - Counts the number of members in the battle group			
Scripts.Players.Battlegroup.Help.Credit:		/bg credit - Displays credit for Battlegroup Master Level encounters that have been completed within the last 10 minutes.  			
Scripts.Players.Battlegroup.Help.GrantCredit:		/bg grantcredit (masterlevel) (playername) - Allows Batttlegroup Leader to grant credit for completed Master Level steps.			
Scripts.Players.Battlegroup.Help.GroupClass:		/bg groupclass - Shows the class makeup of each of the groups in the battlegroup.			
Scripts.Players.Battlegroup.Help.Groups:		/bg groups - Displays the battlegroup members with their groups			
Scripts.Players.Battlegroup.Help.Help:			/bg help - Displays all battle group commands
Scripts.Players.Battlegroup.Help.Invite:		/bg invite [playername] - Invites the specified player to the battle group
Scripts.Players.Battlegroup.Help.JoinPrivate:		/bg join [moderator name] [password] - Join a private battle group which has a password set	
Scripts.Players.Battlegroup.Help.JoinPublic:		/bg join [moderator name] - Join a public battle group by name of the moderator	
Scripts.Players.Battlegroup.Help.Leader:		/bg promote <name> - Declare another member of the battle group as leader; This player can invite other players into the battle group and speak when the battle group is on listen mode.
Scripts.Players.Battlegroup.Help.Leave:			/bg leave - Remove oneself from the battle group
Scripts.Players.Battlegroup.Help.Listen:		/bg listen - Puts the battle group on listen mode; only the moderator and leaders can speak
Scripts.Players.Battlegroup.Help.Loot:			/bg loot (normal/treasurer) - Sets battlegroup looting to normal or a treasurer			
Scripts.Players.Battlegroup.Help.LootLevel:		/bg lootlevel (level) - Sets the lootlevel for your battlegroup.			
Scripts.Players.Battlegroup.Help.PasswordClear:		/bg password clear - Clears the current password (moderator only)	
Scripts.Players.Battlegroup.Help.PasswordDisplay:	/bg password - Display the current password for the battle group (moderator only)	
Scripts.Players.Battlegroup.Help.PasswordNew:		/bg password [new password]	
Scripts.Players.Battlegroup.Help.Private:		/bg private - The battle group is invite or password-only
Scripts.Players.Battlegroup.Help.Public:		/bg public - The battle group is public and anyone can join by typing /bg join
Scripts.Players.Battlegroup.Help.Remove:		/bg remove [playername] - Removes the specified player from the battle group
Scripts.Players.Battlegroup.Help.Status:		/bg status - Returns the number of members in your battlegroup.		
Scripts.Players.Battlegroup.Help.Treasurer:		/bg treasurer (player name) - Sets the battlegroup treasurer.			
Scripts.Players.Battlegroup.Help.Usage:			/bg usage:
Scripts.Players.Battlegroup.Help.Who:			/bg who - Lists all members of the battle group
Scripts.Players.Battlegroup.InBattleGroup:		You must be in a battle group to use this command.
Scripts.Players.Battlegroup.InviteYourself:		You cannot invite yourself to a battlegroup.	
Scripts.Players.Battlegroup.JoinBattleGroup:		Do you want to join {0}'s battlegroup?	
Scripts.Players.Battlegroup.LeaderCommand:		You must be a leader of the battle group to use this command.	
Scripts.Players.Battlegroup.LeaderInvite:		You must be the leader to invite a player to join the battle group.
Scripts.Players.Battlegroup.ListenMode:			The listen mode of battlegroup is switch 
Scripts.Players.Battlegroup.Moderator:			{0} becomes a moderator.
Scripts.Players.Battlegroup.NoPlayer:			There is no player with this name.
Scripts.Players.Battlegroup.NotBattleGroupLeader:	This player is not a leader of a battlegroup.	
Scripts.Players.Battlegroup.NotBattleGroupMember:	This player is not a member of a battlegroup.	
Scripts.Players.Battlegroup.NotPublic:			This battlegroup is not public.
Scripts.Players.Battlegroup.OnlyModerator:		Only moderator can talk on this battle group.	
Scripts.Players.Battlegroup.OwnBattleGroup:		You cannot join your own battlegroup.
Scripts.Players.Battlegroup.Password:			Password of battlegroup: {0}.
Scripts.Players.Battlegroup.PasswordChanged:		You have change the password of Battlegroup to: {0}.	
Scripts.Players.Battlegroup.PlayerInBattlegroup:	{0} is already in a battlegroup.	
Scripts.Players.Battlegroup.Private:			The battlegroup is now private.
Scripts.Players.Battlegroup.Public:			The battlegroup is now public.
Scripts.Players.Battlegroup.Usage:			Usage: /bg <text>
Scripts.Players.Battlegroup.UsageInvite:		Usage: /bg invite <playername>

# Boats
Scripts.Player.Boat.AlreadyOnBoat:			That player is already on the boat!
Scripts.Player.Boat.BoardingDenied:			Your request to board {0} was denied.
Scripts.Player.Boat.BoardingGranted:			You accepted the boarding request.
Scripts.Player.Boat.BoardingRequest:			{0} is trying to board your boat. Accept?
Scripts.Player.Boat.BoatTooFar:				{0} is too far away for you to board.
Scripts.Player.Boat.BootedBy:				You have been kicked off the boat by {0}.
Scripts.Player.Boat.BootedTarget:			You have booted {0} from the boat.
Scripts.Player.Boat.DeleteConfirmation:			Do you really want to delete your boat {0}?
Scripts.Player.Boat.FullBoat:				The boat is currently full.
