# Language file for DOL
# Language used : GERMAN / DEUTSCH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Tschechisch
GamePlayer.UseSlot.CantSeeTarget:			Ihr könnt Euer Ziel nicht sehen!		
GamePlayer.UseSlot.CantSummonRvR:			Ihr könnt das Pferd nicht in RvR-Zonen rufen.		
GamePlayer.UseSlot.Can'tUseFromBackpack:		Ihr müsst diesen Gegenstand erst anlegen, bevor Ihr ihn verwenden könnt!			
GamePlayer.UseSlot.CantUseInCombat:			Ihr könnt diesen Gegenstand nicht im Kampf benutzen!		
GamePlayer.UseSlot.IllegalSourceObject:			In dieser Position({0}) tragt Ihr nichts.
GamePlayer.UseSlot.MustDismountBefore:			Ihr müsst vorher absteigen.		
GamePlayer.UseSlot.NoAutoReleaseShotReload:		Eurer Schuss wird nun nicht länger automatisch nachgeladen und freigegeben.			
GamePlayer.UseSlot.NotEnouthPower:			Ihr seit nicht mächtig genug, um den Zauber dieses Gegenstandes anwenden zu können.		
GamePlayer.UseSlot.StopCallingMount:			Ihr ruft nicht mehr nach Eurem Pferd.		
GamePlayer.UseSlot.WhistleMount:			Ihr pfeift nach Eurem Pferd.		
GamePlayer.Whisper.SelectTarget:			Wählt jemanden aus, dem Ihr etwas zuflüstern wollt!		
					
# HOUSING
HouseEnterLeave.TooFarAway:				Ihr seid zu weit von diesem Haus entfernt, um es zu betreten!
HouseEnterLeave.CantEnter:				Ihr könnt dieses Haus nicht betreten!
HousingDecorationRotate.Rotated:			Die Innendekoration wurde von {0} Grad auf {1} Grad gedreht.
HousingPickupItemHandler.GardenRemoved:			Das Gartenobjekt entfernt.
HousingPickupItemHandler.PickUp:			Es wird {0} in Euren Rucksack gesteckt
HousingPlaceItemHandler.30objects:			Ihr könnt keine weiteren Dekorationen platzieren, entfernt zunächst eine!
HousingPlaceItemHandler.40objects:			Ihr könnt keine weiteren Dekorationen platzieren, entfernt zunächst eine!.
HousingPlaceItemHandler.CantFloor:			Dieses Objekt kann nicht auf dem Boden platziert werden!
HousingPlaceItemHandler.CantWall:			Dieses Objekt kann nicht an einer Wand platziert werden!
HousingPlaceItemHandler.DropOnFloor:			Ihr stellt {0} auf den Boden Eures Hauses.
HousingPlaceItemHandler.DropOnGarden:			Ihr platziert {0} im Garten!
HousingPlaceItemHandler.DropOnWall:			Ihr hängt {0} an die Wand!
HousingPlaceItemHandler.GardenObjectPlaced:		Gartenobjekt wurde platziert. Es können noch {0} Objekte platziert werden.
HousingPlaceItemHandler.HasPorch:			Dieses Haus hat bereits eine Veranda!
HousingPlaceItemHandler.HasNoPorch:			Dieses Haus hat garkeine Veranda.
HousingPlaceItemHandler.IndoorObjectPlaced:		Inneneinrichtung aufgestellt. {0} freie Plätze verbleidend.
HousingPlaceItemHandler.NoHookpoint:			Ihr kann nichts platziert werden!
HousingPlaceItemHandler.PutMoney:			Ihr leistet eine Anzahlung auf Euer Haus.

# /PlayerPositionUpdateHandler
PlayerPositionUpdateHandler.Endurance:			Ihr verliert Ausdauer!
PlayerPositionUpdateHandler.Entered:			Ihr befindet Euch nun {0}.
PlayerPositionUpdateHandler.FallingDamage:		Ihr erleidet Sturzschaden!
PlayerPositionUpdateHandler.FallPercent:		Ihr erleidet Schaden und verliert {0}% Eurer Trefferpunkte.
PlayerPositionUpdateHandler.SafeFall:			Der Schaden wurde durch Eure Fallschutz-Fähigkeit vermindert!
PlayerPositionUpdateHandler.UnknownZone:		Unbekannte Zone! Ihr werdet zu Eurem letzten Bindepunkt gebracht.

# /gameobjects/CustomNPC
# /GameStableMaster
# ---->	Anpassung ---					---Muss an die Bezeichnung eurer Reitpferde angepasst werden!---
GameStableMaster.HorseName:				Reitpferd
GameStableMaster.UnknownWay:				Tut mir leid, dieses Ticket nach {0} ist hier nicht gültig.

# /packets/Client/168
# /PlayerInitRequestHandler
PlayerInitRequestHandler.AllianceMessage:		Allianznachricht: {0}
PlayerInitRequestHandler.FreeLevel:			Ihr seid nun würdig, eine freie Stufe zu erhalten. Klickt auf Euren Ausbilder, um sie zu bekommen!
PlayerInitRequestHandler.GuildMessage:			Gildennachricht: 
PlayerInitRequestHandler.LevelCap:			Ihr habt für dieses Schlachtfeld die Stufenobergrenze erreicht!
PlayerInitRequestHandler.OfficerMessage:		Offiziersnachricht: {0}
PlayerInitRequestHandler.SaferLocation:			Diese Gegend ist im Moment nicht sicher. Ihr werdet an einen sicheren Ort versetzt.

# /PlayerMoveItemRequestHandler
PlayerMoveItemRequestHandler.TooFarAway:		Ihr seit zu weit weg, um {0} etwas zu geben.

# /world
# AbstractArea
AbstractArea.Entered:					(Region) Ihr seid nun {0}!
AbstractArea.Left:					(Region) Ihr seid nun nicht mehr {0}!

# SCRIPTS
# CustomNPC
# /Blacksmith
Scripts.Blacksmith.AbortRepair:				Ihr weigert Euch {0} reparieren zu lassen.
Scripts.Blacksmith.CantRepairThat:			So was kann ich nicht reparieren.
Scripts.Blacksmith.GiveObject:				(Gebt {0} einen Gegenstand aus Eurem Gepäck zum Reparieren.)
Scripts.Blacksmith.InvalidItem:				Falscher Gegenstand.
Scripts.Blacksmith.ItsDone:				Hier, bitte, {0} ist bereit zum Einsatz.
Scripts.Blacksmith.NoNeedRepair:			Dieser Gegenstand befindet sich bereits in einem tadellosen Zustand.
Scripts.Blacksmith.NotEnoughMoney:			Ihr habe nicht genug Geld für die Reparatur.
Scripts.Blacksmith.ObjectCantRepaired:			Dieser Gegenstand kann nicht repariert werden.
Scripts.Blacksmith.ObjectRatherOld:			Uhh, {0} ist schon ziemlich alt. Ich werde nicht mehr in der Lage sein, eine erneute Reparatur durchzuführen. Gebt also gut darauf acht!
Scripts.Blacksmith.RepairCostAccept:			Es wird Euch {0} kosten, {1} reparieren zu lassen. Seid Ihr damit einverstanden?
Scripts.Blacksmith.Say:					Ich kann Eure Waffen und Rüstungen reparieren. Gebt mir einfach die Gegenstände, die ich reparieren soll, und ich will sehen, was ich tun kann. Keine Sorge, ich verlange nicht viel für meine Dienste.
Scripts.Blacksmith.StackedObjets:			{0} kann immer nur einen Gegenstand reparieren.
Scripts.Blacksmith.YouExamine:				Es interessiert Euch {0}. {1} steht Euch {2} und arbeitet als Schmied.
Scripts.Blacksmith.YouPay:				{0} erhält von Euch {1}.
Scripts.Blacksmith.YouTarget:				Es wird {0} als Ziel erfasst.

# GameEvents
# /Playerenterexit
Scripts.Events.PlayerEnterExit.Entered:			{0} betritt gerade das Spiel!
Scripts.Events.PlayerEnterExit.Left:			{0} verlässt gerade das Spiel!
Scripts.Events.PlayerEnterExit.Staff:			[Spielleitung] {0}

# GMCommands
# /Ban
Scripts.GM.Ban.AAlreadyBanned:				Der Account ist bereits gesperrt!
Scripts.GM.Ban.ABanned:					Der Account {0} wurde gesperrt.
Scripts.GM.Ban.BAlreadyBanned:				Dieser Account/IP-Adresse ist bereits gesperrt!
Scripts.GM.Ban.BBanned:					Der Account {0} und die IP-Adresse {1} wurde gesperrt.
Scripts.GM.Ban.IAlreadyBanned:				Diese IP-Adresse ist bereits gesperrt!
Scripts.GM.Ban.IBanned:					Die IP-Adresse {0} wurde gesperrt.
Scripts.GM.Ban.MustTarget:				Ihr müsst erst ein Ziel auswählen!

# PlayerCommands
# /Advice
Scripts.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Scripts.Players.Advice.AdvicersOn:			Es sind {0} Ratgeber online!

# /Advisor
Scripts.Players.Advisor.Off:				Eure Ratgeberkennung wurde ausgeschaltet.
Scripts.Players.Advisor.On:				Ihr seid nun als Ratgeber in Eurem Reich aktiv. Das Ratgeber-System wird von Spielern betrieben und benutzt, die anderen Leuten bei Problemen mit dem Spiel helfen wollen. Bitte aktiviert diese Funktion nur dann, wenn Ihr anderen Spielern helfen wollt.\nWenn Ihr wieder Eure Ruhe haben und nicht mehr als Ratgeber tätig sein wollt, gebt einfach erneut '/advisor' ein.

# /Afk
Scripts.Players.Afk.Off:				AFK ausgeschaltet.
Scripts.Players.Afk.On:					AFK eingeschaltet.

# /Anonymous
Scripts.Players.Anonymous.Error:			Anonymer Modus ist deaktiviert.
Scripts.Players.Anonymous.Off:				Anonymer Modus AUS.
Scripts.Players.Anonymous.On:				Anonymer Modus AN.

# /Assist
Scripts.Players.Assist.CantAssistYourself:		Ihr könnt Euch nicht selbst helfen.
Scripts.Players.Assist.DoesntHaveTarget:		 hat zur Zeit kein Ziel.
Scripts.Players.Assist.DontSee:				Ihr seht hier weit und breit niemanden mit dem Namen {0}!
Scripts.Players.Assist.NoTarget:			Ihr müsst einen Mitbürger Eures Heimatreiches aussuchen, dem Ihr helfen wollt.
Scripts.Players.Assist.NotValid:			Hier gibt es niemanden, der so heißt.
Scripts.Players.Assist.YouAssist:			Ihr helft {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:				Euer Autoloot-Status ist AUS. Ihr werdet nicht versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot on', um diese Option anzuschalten.
Scripts.Players.Autoloot.On:				Euer Autoloot-Status ist AN. Wenn Ihr alleine seid oder der Gruppenführer, werdet Ihr versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot off', um diese Option abzuschalten.

# /Autosplit
Scripts.Players.Autosplit.Coins:			Der Leiter ändert 
Scripts.Players.Autosplit.InGroup:			Ihr müsst für diesen Befehl Mitglied einer Gruppe sein.
Scripts.Players.Autosplit.Leader:			Ihr müsst für diesen Befehl Leiter der Gruppe sein.
Scripts.Players.Autosplit.Loot:				Der Leiter ändert 
Scripts.Players.Autosplit.Off:				Der Leiter hat den Autosplit-Status auf AUS gesetzt.
Scripts.Players.Autosplit.On:				Der Leiter hat den Autosplit-Status auf EIN gesetzt.
Scripts.Players.Autosplit.Self:				{0} ändert 

# /Boot
Scripts.Players.Boot.InHouseError:			Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Boot.NoHouseError:			Ihr besitzt kein Haus!
Scripts.Players.Boot.NoOneOnline:			Niemand ist mit diesem Namen online den Ihr kicken könnt!
Scripts.Players.Boot.YouRemoved:			Ihr wurdet von {0} aus dem Haus geworfen!

# /Bountyrent
Scripts.Players.Bountyrent.InHouseError:		Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Bountyrent.NoHouseError:		Ihr besitzt kein Haus!

# /Broadcast
Scripts.Players.Broadcast.Message:			{0}: **{1}**
Scripts.Players.Broadcast.NoHere:			Ihr könnt hier keinen Rundspruch machen.
Scripts.Players.Broadcast.NoText:			Hmmm...Ihr solltet aufhören, dauernd mit Euch selbst zu reden.

# /Cancelstyle
Scripts.Players.Cancelstyle.Set:			Kampfstil-Abbruch {0}geschaltet.

# /Chatgroup
Scripts.Players.Chatgroup.Help.Help:			/cg help - Zeigt die Hilfe zur Befehlsformulierung an
Scripts.Players.Chatgroup.Help.Invite:			/cg invite <Name> - Lädt einen Spieler in die Chatgruppe ein. Ist dies eine öffentliche Chatgruppe, kann der Befehl von jedem Chatgruppenmitglied benutzt werden, ansonsten nur vom Chatgruppenleiter.
Scripts.Players.Chatgroup.Help.JoinPrivate:		/cg join <Leitername> <Passwort> - Ihr tretet einer öffentlichen, passwortgeschützten Chatgruppe bei.
Scripts.Players.Chatgroup.Help.JoinPublic:		/cg join <Leitername> - Ihr tretet einer öffentlichen Chatgruppe bei.
Scripts.Players.Chatgroup.Help.Leader:			/cg leader <name> - Schaltet einen Spieler als Leiter der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Leave:			/cg leave - Ihr verlasst die Chatgruppe.
Scripts.Players.Chatgroup.Help.Listen:			/cg listen - Schaltet die Chatgruppe auf "Nur lesen". Nur noch der Chatgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordClear:		/cg password clear - Löscht das aktuelle Passwort (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordDisplay:		/cg password - Zeigt das aktuelle Passwort (Nur dem Leiter)
Scripts.Players.Chatgroup.Help.PasswordNew:		/cg password <Neues Passwort> - Setz ein (neues) Passwort für die Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Private:			/cg private - Schaltet die Chatgruppe auf Nicht-Öffentlich. Man muss das Passwort oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Public:			/cg public - Schaltet die Chatgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Chatgruppe beitreten. Ausserdem ist sie dann unter "/who CG" finden. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Remove:			/cg remove <Name> - Wirft einen Spieler aus der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Usage:			Befehle für "/cg" sind:
Scripts.Players.Chatgroup.Help.Who:			/cg who - Zeigt alle Mitglieder der Chatgruppe.
Scripts.Players.Chatgroup.InChatGroup:			Ihr seid zur Zeit in keiner Chat-Gruppe!
Scripts.Players.Chatgroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Scripts.Players.Chatgroup.JoinChatGroup:		Wollt Ihr der Chat-Gruppe von {0} beitreten?	
Scripts.Players.Chatgroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Chat-Gruppe geben.	
Scripts.Players.Chatgroup.LeaderInvite:			Ihr müsst der Leiter der Chat-Gruppe sein, um einen Spieler einladen zukönnen.
Scripts.Players.Chatgroup.ListenMode:			Der "Nur Lesen"-Status der Chat-Gruppe wurde geändert auf 
Scripts.Players.Chatgroup.Moderator:			{0} ist Moderator geworden.
Scripts.Players.Chatgroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Scripts.Players.Chatgroup.NotChatGroupLeader:		Dieser Spieler ist kein Leiter einer Chat-Gruppe.	
Scripts.Players.Chatgroup.NotChatGroupMember:		Dieser Spieler gehört keiner Chat-Gruppe an.	
Scripts.Players.Chatgroup.NotPublic:			Das ist keine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Chat-Gruppe sprechen.	
Scripts.Players.Chatgroup.OwnChatGroup:			Eurer eigenen Chat-Gruppe könnt Ihr nicht beitreten.
Scripts.Players.Chatgroup.Password:			Das Passwort der Chat-Gruppe lautet: {0}.
Scripts.Players.Chatgroup.PasswordChanged:		Ihr habt das Passwort der Chat-Gruppe geändert in: {0}.	
Scripts.Players.Chatgroup.PlayerInChatgroup:		{0} ist bereits Mitglied einer Chat-Gruppe.	
Scripts.Players.Chatgroup.Private:			Das ist nun eine private Chat-Gruppe.
Scripts.Players.Chatgroup.Public:			Das ist nun eine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.Usage:			Verwendet: /c <text>
Scripts.Players.Chatgroup.UsageInvite:			Verwendet: /cg invite <playername>"

# /Cmdhelp
Scripts.Players.Cmdhelp.NoCommand:			Den Befehl {0} gibt es nicht.
Scripts.Players.Cmdhelp.PlvlCommands:			<---------Befehle für Berechtigungsstufe {0}--------->
Scripts.Players.Cmdhelp.Usage:				>-------Befehlsform für {0}-------<

# /Disband
Scripts.Players.Disband.Disbanded:			{o} wurde aus der Gruppe entlassen.
Scripts.Players.Disband.NoPlayer:			In der Gruppe gibt es keinen Spieler mit diesem Namen.
Scripts.Players.Disband.NotInGroup:			Ihr seid zur Zeit in keiner Gruppe.
Scripts.Players.Disband.NotLeader:			Ihr seit nicht der Leiter Eurer Gruppe.
Scripts.Players.Disband.NoYourself:			Auf diesem Wege könnt Ihr die Gruppe nicht verlassen.

# /Dismount
Scripts.Players.Dismount:				Ihr reitet doch garnicht!

# /Duel
Scripts.Players.Duel.ChallengesYou:			{0} fordert Euch zu einem Duell heraus! '/duel accept' lässt den Kampf beginnen, '/duel decline' lehnt die Herausforderung ab.
Scripts.Players.Duel.DuelOptions:			Es gibt folgende '/duel'-Optionen: 'challenge/decline/cancel/surrender/accept'
Scripts.Players.Duel.EnemyRealm:			Ihr könnt Euch nicht mit Spielern aus verfeindeten Reichen duellieren.
Scripts.Players.Duel.NeedTarget:			Ihr braucht schon einen Gegenspieler, den Ihr zum Duell fordern könnt!
Scripts.Players.Duel.ConsideringDuel:			Zur Zeit seid Ihr nicht zu einem Duell aufgefordert worden oder habt selbst jemanden aufgefordert.
Scripts.Players.Duel.NotInDuel:				Ihr befindet Euch zur Zeit in keinem Duell!
Scripts.Players.Duel.PlayerVsPlayer:			{0} ergibt sich {1}!
Scripts.Players.Duel.SafeZone:				Dies ist eine geschützte Zone in der Ihr Euch nicht duellieren könnt!
Scripts.Players.Duel.TargetAccept:			{0} hat die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.TargetAlreadyChallenging:		{0} hat bereits jemand anderes zum Duell gefordert.
Scripts.Players.Duel.TargetAlreadyConsidering:		{0} hat bereits eine andere Duellforderung zugesagt.
Scripts.Players.Duel.TargetCancel:			{0} hat seine Aufforderung zum Duell zurückgezogen.	
Scripts.Players.Duel.TargetDeclines:			{0} hat Euere Duellforderung abgelehnt.
Scripts.Players.Duel.TargetHealth:			Euer Duellgegner muss völlig gesund sein.
Scripts.Players.Duel.TargetInCombat:			{0} kämpft zur Zeit.
Scripts.Players.Duel.TargetInDuel:			{0} befindet sich bereits in einem Duell.
Scripts.Players.Duel.TargetInGroup:			{0} ist Mitglied einer Gruppe.
Scripts.Players.Duel.TargetSurrender:			{0} ergibt sich Euch!
Scripts.Players.Duel.YouAccept:				Ihr habt die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.YouAlreadyChallenging:		Ihr habt bereits {0} zu einem Duell herausgefordert. Zieht diese Forderung zuerst zurück, damit Ihr jemand anderes zum Duell auffordern könnt.
Scripts.Players.Duel.YouAlreadyConsidering:		Ihr habt bereits einem Duell mit {0} zugesagt. Zieht diese Zusage erst zurück, bevor Ihr jemand anderes herausfordert.
Scripts.Players.Duel.YouCancel:				Ihr habt Eure Duellforderung zurückgezogen.
Scripts.Players.Duel.YouChallenge:			Ihr fordert {0} zum Duell heraus!
Scripts.Players.Duel.YouDecline:			Ihr habt die Duellforderung von {0} abgelehnt.
Scripts.Players.Duel.YouHaventChallenged:		Ihr habt niemanden zu einem Duell herausgefordert.
Scripts.Players.Duel.YouHealth:				Ihr müsst erst völlig gesund sein.
Scripts.Players.Duel.YouInCombat:			Ihr befindet Euch in einem Kampf.
Scripts.Players.Duel.YouInDuel:				Ihr befindet Euch schon in einem Duell.
Scripts.Players.Duel.YouInGroup:			Ihr seit Mitglied einer Gruppe.
Scripts.Players.Duel.YouSurrender:			Ihr ergebt Euch {0}!

# /Language
Scripts.Players.Language.Current:			Die aktuell auf dem Server angezeigte Sprache ist: {0}.
Scripts.Players.Language.Set:				Ihr ändert die vom Server angezeigte Sprache auf {0}.

# QUESTS
# /ImportantDelivery(Wichtige Lieferung)
Hib.ImportantDelivery.CheckPlayerAbortQuest.Abort:	Auftrag {0} abgebrochen. Ihr könnt jeder Zeit wieder beginnen.
Hib.ImportantDelivery.CheckPlayerAbortQuest.NoAbort:	Gut, macht also weiter und vollendet Eure Arbeit!
Hib.ImportantDelivery.CheckPlayerAcceptQuest.Accept:	Ich gratuliere Euch! Ihr seid nun einen Schritt weiter, um die Welt von Hibernia zu verstehen. In dieser Phase der Ausbildung werde ich Euch in verschiedene Teile des Reiches schicken, um einige bestellte Sachen bei bestimmten Leuten abzuliefern. Ihr solltet von Zeit zu Zeit Eure NOTIZEN aufschlagen, um zu sehen, welcher Schritt als nächstes getan werden muss, um Eure Aufgabe zuerledigen. Ihr könnt auf diese über die BEFEHLE-Taste in Eurem [Charakterbogen] zugreifen.
Hib.ImportantDelivery.CheckPlayerAcceptQuest.NoAccept:	Auch gut. Kommt bitte zurück, falls Ihr Eure Meinung ändern solltet.
Hib.ImportantDelivery.DefineItems.CrateOfVegetables:	Kiste mit Gemüse
Hib.ImportantDelivery.DefineItems.RecruitsCloak:	Rekruten-Umhang
Hib.ImportantDelivery.DefineItems.RecruitsDiary:	Rekruten-Tagebuch
Hib.ImportantDelivery.DefineItems.SackOfSupplies:	Sack mit Vorräten
Hib.ImportantDelivery.Description.Step1:		Schritt 1: Hört Addrir zu, wie er Eure Mission beschreibt.Falls er aufhört mit Reden, fragt ihn, was er Euch geben kann, um die Ausbildung zu [beschleunigen].
Hib.ImportantDelivery.Description.Step2:		Schritt 2: Hört den Ausführungen von Addrir über Euer Tagebuch zu. Wenn er aufhört mit Euch zu reden, dann fragt ihn, wie das Tagebuch Euch helfen kann, die Erledigung Eurer Aufträge zu [beschleunigen].
Hib.ImportantDelivery.Description.Step3:		Schritt 3: Geht den Weg südwestlich von Addrir. Sucht Stallmeister Rumdor am Haupteingang des Pferdestalles und gebt ihm Euer Ticket.
Hib.ImportantDelivery.Description.Step4:		Schritt 4: Gebt den Sack mit Vorräten Aethic in Tir na mBeo. Er steht links neben dem höchsten Gebäude der Stadt. Ihr könnt ihm den Sack genauso geben, wie Ihr Rumdor das Ticket ausgehändigt habt.
Hib.ImportantDelivery.Description.Step5:		Schritt 5: Hört zu, was Aethic Euch zu sagen hat.
Hib.ImportantDelivery.Description.Step6:		Schritt 6: Nehmt das Ticket von Aethic und gebt es Stallmeister Truichon. Macht das genauso wieder, wie vorhin mit den Vorräten für Aethic. Ihr findet den Stall von Truichon, wenn Ihr nach Norden geht. Ihr habt dort vorhin Euer Pferd abgegeben.
Hib.ImportantDelivery.Description.Step7:		Schritt 7: Gebt Stallmeister Freagus die Kiste mit Gemüse.
Hib.ImportantDelivery.Description.Step8:		Schritt 8: Hört Stallmeister Freagus eine Weile zu. Falls er aufhört, mit Euch zu reden, fragt ihn nach Eurer [Belohnung] für die harte Arbeit und Eure Dienste für Hibernia.
Hib.ImportantDelivery.Notify.RentingHorse:		Guten Tag, {0}. Falls Ihr daran interessiert seid ein Reitpferd zu mieten, dann kauft ein Ticket und gebt es mir. Ich wünsche Euch einen sicheren Weg!
Hib.ImportantDelivery.Notify.Supplies:			Ah! Die Vorräte, auf die ich schon warte. Ich danke Euch {0}. Diese werden uns auf alle Fälle in den kommenden Wochen weiter helfen. Ich habe einen weiteren [Auftrag]. Seit Ihr daran interessiert?
Hib.ImportantDelivery.Notify.Vegetables:		Ah! Das muss von Aethic aus Tir na mBeo sein. Ich habe schon eine ganze Weile auf gutes Gemüse gewartet. Meine Familie, mein Pferd und ich werden eine ganze Zeit damit auskommen. Meinen Dank an Euch. Hier nehmt diese [Belohnung] für Eure harte Arbeit.
Hib.ImportantDelivery.TalkToAddrir.Abort:		Wollt Ihr wirklich diese Aufgabe abbrechen, wobei Euch alle damit verbundenen Gegenstände verloren gehen?
Hib.ImportantDelivery.TalkToAddrir.CharSheet:		Euer Charakterbogen beinhaltet alle Informationen Eures Charakters, wie zum Beispiel Attribute, Waffenfähigkeit, Startklasse und Beruf. Wenn Ihr Euch diese Werte Eures Charakters ansehen wollt, klickt in der Menüleiste auf das linke Symbol. Es sieht aus wie eine Figur mit einem Kreis darum. Ihr erhaltet dort mehr [Informationen].
Hib.ImportantDelivery.TalkToAddrir.Expedite:		Nun, da Ihr eine kurze Einführung in die Welt von Hibernia erhalten habt, ist es an der Zeit für Eure erste Aufgabe. Ich möchte, dass Ihr diese Vorräte zu Aethic in Tir na mBeo bringt. Keine Sorge, ich habe ein besonderes [Pferdeticket] für Euch.
Hib.ImportantDelivery.TalkToAddrir.Greetings:		Seid willkommen junger Rekrut. Ich bin Addrir und hier, um Euch zu helfen, Euren Weg in diesem ausgedehnten Reich zu finden. Dabei werdet Ihr die Gelegenheit haben, Waffen, Rüstungen, Geld und Erfahrung zu erlangen. Ihr werdet Eure Ausbildung mit einer einfachen [Frage] beginnen.
Hib.ImportantDelivery.TalkToAddrir.HorseTicket:		Alles was Ihr tun müsst, ist dieses Pferdeticket zu Stallmeister Rumdor hier in Mag Mell zu bringen. Gebt ihm das Ticket und schon seid Ihr auf dem Weg nach Tir na mBeo. Beeilt Euch, denn die Zeit ist kostbar.
Hib.ImportantDelivery.TalkToAddrir.Information:		Ich weiß, das alles scheint ein wenig zu viel zu sein, aber ich habe einen besonderen Gegenstand für Euch, der die Eingewöhnung vereinfachen wird. Bitte nehmt dieses [Tagebuch] für Rekruten.
Hib.ImportantDelivery.TalkToAddrir.Journal:		Das Tagebuch wird Euch bei den verschiedenen Aufgaben, die ich Euch stellen werde, helfen. Ich nenne es gerne ein schlaues Tagebuch. Es wurde für Neulinge wie Euch von Eldritch-Meistern hergestellt und wird Euch helfen, Eure Ausbildung zu [beschleunigen].
Hib.ImportantDelivery.TalkToAddrir.OneStepCloser:	Ich gratuliere Euch! Ihr seid nun einen Schritt weiter, um die Welt von Hibernia zu verstehen. In dieser Phase der Ausbildung werde ich Euch in verschiedene Teile des Reiches schicken, um einige bestellte Sachen bei bestimmten Leuten abzuliefern. Ihr solltet von Zeit zu Zeit Eure NOTIZEN aufschlagen, um zu sehen, welcher Schritt als nächstes getan werden muss, um Eure Aufgabe zuerledigen. Ihr könnt auf diese über die BEFEHLE-Taste in Eurem [Charakterbogen] zugreifen.
Hib.ImportantDelivery.TalkToAddrir.Question:		Ich werde Euch fragen, ob Ihr mit Eurer Ausbildung weiter machen wollt. Es wird sich dann ein Dialog zeigen. Alles was Ihr tun solltet, ist zuzustimmen oder abzulehnen. Seid Ihr bereit, mit [Eurer Ausbildung fortzufahren]?
Hib.ImportantDelivery.TalkToAddrir.Training:		Seid Ihr bereit Eure Ausbildung zu beginnen?
Hib.ImportantDelivery.TalkToAddrir.CaseCharSheet:	Charakterbogen
Hib.ImportantDelivery.TalkToAddrir.CaseExpedite:	beschleunigen
Hib.ImportantDelivery.TalkToAddrir.CaseHorseTicket:	Pferdeticket
Hib.ImportantDelivery.TalkToAddrir.CaseInformation:	Informationen
Hib.ImportantDelivery.TalkToAddrir.CaseJournal:		Tagebuch
Hib.ImportantDelivery.TalkToAddrir.CaseQuestion:	Frage
Hib.ImportantDelivery.TalkToAddrir.CaseTraining:	Eurer Ausbildung fortzufahren
Hib.ImportantDelivery.TalkToAethic.CaseErrand:		Auftrag
Hib.ImportantDelivery.TalkToAethic.Errand:		Ich brauche Euch, um diese Kiste mit Gemüse zu Freagus nach Ardee zu bringen. Ich bin sicher, dass Ihr geeignet seid für diese Aufgabe. Nehmt dieses Pferdeticket und gebt es Stallmeister Truichon. Und nun beeilt Euch, bevor dieses Gemüse verdirbt.
Hib.ImportantDelivery.TalkToAethic.Greetings:		Seid gegrüßt, Reisender. Ich habe Euch vorher noch nie hier gesehen. Ihr müsst ein neuer Rekrut sein. Wie auch immer, womit kann ich Euch helfen?
Hib.ImportantDelivery.TalkToAethic.Supplies:		Ah! Die Vorräte, auf die ich schon warte. Ich danke Euch {0}. Diese werden uns auf alle Fälle in den kommenden Wochen weiter helfen. Ich habe einen weiteren [Auftrag]. Seit Ihr daran interessiert?
Hib.ImportantDelivery.TalkToAethic.Vegetables:		Ich brauche Euch, um diese Kiste mit Gemüse zu Freagus nach Ardee zu bringen. Ich bin sicher, dass Ihr geeignet seid für diese Aufgabe. Nehmt dieses Pferdeticket und gebt es Stallmeister Truichon. Und nun beeilt Euch, bevor dieses Gemüse verdirbt.
Hib.ImportantDelivery.TalkToFreagus.CaseReward:		Belohnung
Hib.ImportantDelivery.TalkToFreagus.Errand:		Geht nicht gleich wieder weg, Freund. Ich habe noch einen anderen Auftrag für Euch.
