# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
# Edit by the french player
# Finish by heretoc
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.English:					Anglais
GamePlayer.StartAttack.CombatTarget:		Vous entrez en combat, et ciblez [{0}]
GamePlayer.StartAttack.SpellCancelled:		Votre sort est annulé !
GamePlayer.StartAttack.TargetInRange:		, la cible est à proximité
GamePlayer.StartAttack.TargetOutOfRange:	, la cible est hors de portée
GamePlayer.StartAttack.YouPrepare:			Vous préparez votre {0} ({1}.{2}s pour tirer{3})
GamePlayer.Stealth.NoLongerHidden:			Vous n'êtes plus caché.
GamePlayer.Stealth.NowHidden:				Vous êtes caché.
GamePlayer.SwitchQuiver.NoMoreAmmo:			Vous n'avez plus de munitions dans votre carquois !
GamePlayer.SwitchQuiver.NotUseQuiver:		Vous n'utiliserez pas votre carquois.
GamePlayer.SwitchQuiver.ShootWith:			Vous attaquerez avec: {0}.
GamePlayer.SwitchWeapon.SpellCancelled:		Votre sort est annulé !
GamePlayer.UpdateEncumberance.Encumbered:				Vous êtes encombré.
GamePlayer.UpdateEncumberance.EncumberedMoveSlowly:		Vous êtes encombré, et bougez lentement.
GamePlayer.UpdateSpellLine.GainPower:		Vous gagnez de la puissance dans la ligne de sorts {0}.
GamePlayer.UseSlot.AttemptToUse:			Vous essayez d'utiliser {0}.
GamePlayer.UseSlot.AutoReleaseShot:			Vous allez maintenant tirer automatiquement.
GamePlayer.UseSlot.AutoReleaseShotReload:	Vous allez maintenant tirer et recharger automatiquement.
GamePlayer.UseSlot.CantCallMountSeated:		Vous ne pouvez pas appeler votre monture si vous êtes assis.
GamePlayer.UseSlot.CantFire:				Vous ne pouvez pas lancer ou utiliser cet objet.
GamePlayer.UseSlot.CantMountCombat:			Vous êtes en combat, et ne pouvez pas appeler votre monture.
GamePlayer.UseSlot.CantMountMoving:			Vous ne pouvez pas monter sur un cheval lorsque vous bougez.
GamePlayer.UseSlot.CantMountSteath:			Vous ne pouvez pas monter sur un cheval si vous êtes en furtivité.
GamePlayer.UseSlot.CantMountWhileDead:		Vous ne pouvez pas monter sur votre cheval, vous êtes mort !
GamePlayer.UseSlot.CantSeeTarget:			Vous ne voyez pas votre cible !
GamePlayer.UseSlot.CantSummonRvR:			Vous ne pouvez pas utiliser cette monture dans une zone RvR.
GamePlayer.UseSlot.Can'tUseFromBackpack:	Vous ne pouvez pas utiliser cet objet directement dans votre sac à dos. Equipez le avant !
GamePlayer.UseSlot.CantUseInCombat:			Vous ne pouvez pas utiliser cet objet en combat !
GamePlayer.UseSlot.IllegalSourceObject:		Objet source incorrect. Readied {0}.
GamePlayer.UseSlot.MustDismountBefore:		Vous devez d'abord descendre de votre cheval.
GamePlayer.UseSlot.NoAutoReleaseShotReload:	Vous ne tirerez ou ne rechargerez plus automatiquement.
GamePlayer.UseSlot.NotEnouthPower:			Vous n'êtes pas assez puissant pour utiliser le sortilège de cet objet.
GamePlayer.UseSlot.StopCallingMount:		Vous arrêtez d'appeler votre monture.
GamePlayer.UseSlot.WhistleMount:			Vous sifflez votre monture.
GamePlayer.Whisper.SelectTarget:			Sélectionnez une cible à qui chuchoter.

# /packets/Client/168
# /DetailDisplayHandler
DetailDisplayHandler.GetShortItemInfo.CrafterName:	Artisant : {0}
DetailDisplayHandler.GetShortItemInfo.NoDrop:		 Ne peut être jeter.
DetailDisplayHandler.GetShortItemInfo.NoSell:		 Ne peut être vendu.
DetailDisplayHandler.GetShortItemInfo.NoTrade:		 Ne peut être échanger.
DetailDisplayHandler.HandlePacket.Any:			Tous
DetailDisplayHandler.HandlePacket.Back:			(Dos)
DetailDisplayHandler.HandlePacket.CannotDropped:	Ne peut être jeté ou mis au coffre.
DetailDisplayHandler.HandlePacket.CannotSold:		Ne peut être venu.
DetailDisplayHandler.HandlePacket.CannotTraded:		Ne peut être échangé.
DetailDisplayHandler.HandlePacket.ChampionLevel:	 - Requis: Niveau de Champion {0}
DetailDisplayHandler.HandlePacket.ChatItem:		[Chat] {0}/Objet: "{1}"
DetailDisplayHandler.HandlePacket.CrafterName:		Artisant : {0}
DetailDisplayHandler.HandlePacket.Damage:		Dégats: 
DetailDisplayHandler.HandlePacket.Defense:		Défense: 
DetailDisplayHandler.HandlePacket.DontBelongGuild:	Cela apartien à un joueur.
DetailDisplayHandler.HandlePacket.FatigueCost:		Coût en endurance: 
DetailDisplayHandler.HandlePacket.FollowupStyle:	Style de suite: {0}
DetailDisplayHandler.HandlePacket.Front:		(Face)	
DetailDisplayHandler.HandlePacket.GuildItem:		[Guilde] {0}/Objet: "{1}"
DetailDisplayHandler.HandlePacket.High:			Haut
DetailDisplayHandler.HandlePacket.HighBonus:		Haut bonus
DetailDisplayHandler.HandlePacket.HighPenalty:		Haute pénalité
DetailDisplayHandler.HandlePacket.Item:			{0}/objet: "{1}
DetailDisplayHandler.HandlePacket.LevName:		Niv   Non
DetailDisplayHandler.HandlePacket.Low:			Bas
DetailDisplayHandler.HandlePacket.LowBonus:		Bonus bas
DetailDisplayHandler.HandlePacket.LowPenalty:		Basse pénalité
DetailDisplayHandler.HandlePacket.Medium:		Moyen
DetailDisplayHandler.HandlePacket.MediumBonus:		Bonus moyen
DetailDisplayHandler.HandlePacket.MediumPenalty:	Pénalité moyenne
DetailDisplayHandler.HandlePacket.MustBeInChatGroup:	Vous devez être dans un groupe de discussion.
DetailDisplayHandler.HandlePacket.MustBeInBattleGroup:	Vous devez être dans un groupe de combat.
DetailDisplayHandler.HandlePacket.NoBonus:		Aucun Bonus
DetailDisplayHandler.HandlePacket.NoGroup:		Vous ne faites pas partie d'un groupe.
DetailDisplayHandler.HandlePacket.NoInformation:	Aucune information spéciale!
DetailDisplayHandler.HandlePacket.NoPermissionToSpeak:	Vous n'avez pas les droits pour parler sur le canal de guilde.	
DetailDisplayHandler.HandlePacket.OnlyModerator:	Seuls les modérateurs peuvent parler sur ce canal.
DetailDisplayHandler.HandlePacket.Opening:		Ouverture: 
DetailDisplayHandler.HandlePacket.OpeningStyle:		Style d'ouverture: 
DetailDisplayHandler.HandlePacket.Or:			 ou {0}
DetailDisplayHandler.HandlePacket.Positional:		Positionnel
DetailDisplayHandler.HandlePacket.Side:			(côté)
DetailDisplayHandler.HandlePacket.TargetBlocks:		La cible bloque
DetailDisplayHandler.HandlePacket.TargetEffect:		Target Effect: 
DetailDisplayHandler.HandlePacket.TargetEvades:		La cible esquive
DetailDisplayHandler.HandlePacket.TargetFumbles:	La cible rate lamentablement
DetailDisplayHandler.HandlePacket.TargetHits:		La cible touche
DetailDisplayHandler.HandlePacket.TargetMisses:		La cible loupe
DetailDisplayHandler.HandlePacket.TargetParrys:		La cible parre
DetailDisplayHandler.HandlePacket.TargetStyle:		La cible exécute un style
DetailDisplayHandler.HandlePacket.ToHit:		Toucher: 
DetailDisplayHandler.HandlePacket.VeryHigh:		Très haut
DetailDisplayHandler.HandlePacket.VeryHighBonus:	Très haut Bonus	
DetailDisplayHandler.HandlePacket.VeryHighPenalty:	Très haute pénalité
DetailDisplayHandler.HandlePacket.VeryLow:		Très bas
DetailDisplayHandler.HandlePacket.VeryLowBonus:		Très bas Bonus
DetailDisplayHandler.HandlePacket.VeryLowPenalty:	Très basse pénalité
DetailDisplayHandler.HandlePacket.VeryStrange:		C'est très étrange, je ne reconnais pas ce type d'objets.
DetailDisplayHandler.HandlePacket.WeaponType:		Type d'arme: {0}
DetailDisplayHandler.HandlePacket.YouBlock:		Vous bloquez
DetailDisplayHandler.HandlePacket.YouEvade:		Vous esquivez
DetailDisplayHandler.HandlePacket.YouFumble:		Vous loupez lamentablement
DetailDisplayHandler.HandlePacket.YouHit:		Vous touchez
DetailDisplayHandler.HandlePacket.YouMiss:		Vous loupez
DetailDisplayHandler.HandlePacket.YouParry:		Vous parrez
DetailDisplayHandler.WriteClassicArmorInfos.Absorption:	- {0}% Absorption
DetailDisplayHandler.WriteClassicArmorInfos.ArmorMod:	Modificateurs d'armure:
DetailDisplayHandler.WriteClassicArmorInfos.BaseFactor:	- {0} Armure de base
DetailDisplayHandler.WriteClassicArmorInfos.ClampFact:	- {0} Armure réelle
DetailDisplayHandler.WriteClassicArmorInfos.Condition:	- {0}% Condition
DetailDisplayHandler.WriteClassicArmorInfos.EffArmor:	Armure:
DetailDisplayHandler.WriteClassicArmorInfos.Factor:	- {0} Armure
DetailDisplayHandler.WriteClassicArmorInfos.Quality:	- {0}% Qualité
DetailDisplayHandler.WriteClassicShieldInfos.BaseDPS:	- {0} DPS de base
DetailDisplayHandler.WriteClassicShieldInfos.ClampDPS:	- {0} DPS Réel
DetailDisplayHandler.WriteClassicShieldInfos.DamageMod:	Modificateurs de dégats (quand utilisé avec les styles Bouclier):
DetailDisplayHandler.WriteClassicShieldInfos.Large:	- Taille du Bouclier : Grand
DetailDisplayHandler.WriteClassicShieldInfos.Medium:	- Taille du Bouclier : Moyen
DetailDisplayHandler.WriteClassicShieldInfos.Small:	- Taille du Bouclier : Petit
DetailDisplayHandler.WriteClassicShieldInfos.SPD:	- {0} Vitesse du bouclier
DetailDisplayHandler.WriteClassicWeaponInfos.BaseDPS:	- {0} DPS de base
DetailDisplayHandler.WriteClassicWeaponInfos.ClampDPS:	- {0} DPS Réel
DetailDisplayHandler.WriteClassicWeaponInfos.Condition:	- {0}% Condition
DetailDisplayHandler.WriteClassicWeaponInfos.DamageMod:	Modificateur de dégats:
DetailDisplayHandler.WriteClassicWeaponInfos.DamageType:Type de dégats: {0}
DetailDisplayHandler.WriteClassicWeaponInfos.EffDamage:	Dégats effectifs:
DetailDisplayHandler.WriteClassicWeaponInfos.Quality:	- {0}% Qualité
DetailDisplayHandler.WriteClassicWeaponInfos.SPD:	- {0} Vitesse de l'arme
DetailDisplayHandler.WriteHorseInfo.AdvancedHorse:	C'est une monture avancée.
DetailDisplayHandler.WriteHorseInfo.Armor:		- Armure: {0}
DetailDisplayHandler.WriteHorseInfo.Barding:		- Barding: Aucun
DetailDisplayHandler.WriteHorseInfo.BasicHorse:		C'est une monture classique.
DetailDisplayHandler.WriteHorseInfo.Food:		- Nourriture favorite: Foin, et occasionnellement une pomme
DetailDisplayHandler.WriteHorseInfo.MountWindow:	Pour faire de cette monture votre monture active, déplacez cette icôe dans l'emplacement dédié de votre fenêtre de monture.
DetailDisplayHandler.WriteHorseInfo.Name:		- Nom: {0}.
DetailDisplayHandler.WriteHorseInfo.NameMount:		  (Utilisez /namemount pour donner un nom à votre monture.)
DetailDisplayHandler.WriteHorseInfo.Quickbar:		Pour invoquer cette monture, depuis la fenêtre de monter déplacez l'icône sur votre barre de lancement rapide, et cliquez sur le bouton créé.
DetailDisplayHandler.WriteHorseInfo.RvRZzones:		Ne peut être invoqué en zone RVR.
DetailDisplayHandler.WriteHorseInfo.Speed1:		(+35% vitesse)
DetailDisplayHandler.WriteHorseInfo.Speed2:		(+45% vitesse)
DetailDisplayHandler.WriteHorseInfo.Summon:		Cliquez sur cette icône dans votre barre de lancement pour invoquer (ou renvoyer) votre monture.
DetailDisplayHandler.WriteMagicalBonuses.ChargedMagic:	Charged Magic Ability:
DetailDisplayHandler.WriteMagicalBonuses.Charges:	- {0} Charges
DetailDisplayHandler.WriteMagicalBonuses.FocusBonus:	Bonus au focus:
DetailDisplayHandler.WriteMagicalBonuses.Level:		- {0} Niveau
DetailDisplayHandler.WriteMagicalBonuses.LevelRequired:	Niveau requis
DetailDisplayHandler.WriteMagicalBonuses.MagicAbility:	Bonus Magiques:
DetailDisplayHandler.WriteMagicalBonuses.MagicBonus:	Bonus Magiques:
DetailDisplayHandler.WriteMagicalBonuses.MaxCharges:	- {0} Max
DetailDisplayHandler.WriteMagicalBonuses.StrikeArmor:	- Le sort a une chance d'être lancé quand un ennemi touche cette armure.
DetailDisplayHandler.WriteMagicalBonuses.StrikeEnemy:	- Le sort a une chance d'être lancé quand cette arme touche un ennemi.
DetailDisplayHandler.WriteMagicalBonuses.UsedItem:	- Le sort a une chance d'être lancé quand l'objet est utilisé.
DetailDisplayHandler.WriteMagicalBonuses.UseItem1:	Pout être utilisté toutes les: {0}
DetailDisplayHandler.WriteMagicalBonuses.UseItem2:	Pout être utilisté toutes les: 3:00 min.
DetailDisplayHandler.WriteMagicalBonuses.UseItem3:	Peut être réutilisé dans: {0}.
DetailDisplayHandler.WritePoisonInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePoisonInfo.Level:		- {0} Niveau
DetailDisplayHandler.WritePoisonInfo.LevelRequired:	Niveau requis:
DetailDisplayHandler.WritePoisonInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePoisonInfo.ProcAbility:	Effet offensif:
DetailDisplayHandler.WritePotionInfo.ChargedMagic:	Effet magique:
DetailDisplayHandler.WritePotionInfo.Charges:		- {0} Charges
DetailDisplayHandler.WritePotionInfo.Level:		- {0} Niveau
DetailDisplayHandler.WritePotionInfo.LevelRequired:	Niveau requis:
DetailDisplayHandler.WritePotionInfo.MaxCharges:	- {0} Max
DetailDisplayHandler.WritePotionInfo.NoUseInCombat:	Ne peut être utilisé en combat.
DetailDisplayHandler.WritePotionInfo.UseItem2:		Pout être utilisté toutes les: 1:00 min
DetailDisplayHandler.WritePotionInfo.UseItem3:		Peut être réutilisé dans: {0}.
DetailDisplayHandler.WriteUsableClasses.UsableBy:	Utilisable par: 

# GAMESTAICITEM
GameStaticItem.GetName.Article1:			Le {0}
GameStaticItem.GetName.Article2:			le {0}

# Styles
# /StyleProcessor
StyleProcessor.ExecuteStyle.BackStrike:         Vous infligez un coups critique dans le dos de votre cible
StyleProcessor.ExecuteStyle.ExecuteFail:      Vous de parvenez pas a effectuez votre {0} Parfaitement!
StyleProcessor.ExecuteStyle.PerformPerfectly:      Vous effectuez votre {0} Parfaitement! {1}
StyleProcessor.ExecuteStyle.PerformsPerfectly:      Votre {0} effectue {1} Parfaitement! {2}
StyleProcessor.ExecuteStyle.StyleNameBackstab:      Backstab
StyleProcessor.ExecuteStyle.StyleNameBackstabII:   Backstab II
StyleProcessor.ExecuteStyle.StyleNamePerforateArtery:   Perfore artère
StyleProcessor.ExecuteStyle.ThroatStrike:      Vous infligez un coups critique dans le throat de votre cible
StyleProcessor.TryToUseStyle.AlreadyPreparing:      Vous etes deja en train de preparer cette attaquer! tapez /cancelstyle pour arreter l'attaque en cours.
StyleProcessor.TryToUseStyle.AlreadySelectedStyles:   Vous avez deja choisis votre attaque pour ce tour!
StyleProcessor.TryToUseStyle.BackupStyle:      Vous vous preparer maintenant a executer un {0} attaque a la place de {1}!
StyleProcessor.TryToUseStyle.CantCombatMode:      Vous ne pouvez pas entrer en mode combat tout en etant assis!
StyleProcessor.TryToUseStyle.CantMeleeCombat:      Vous ne pouvez pas entrer en combat de melee avec une arme a distance!
StyleProcessor.TryToUseStyle.DualWielding:      Vous devez etre en deux mains Pour utiliser cette attaque!
StyleProcessor.TryToUseStyle.Fatigued:         Vous etes trop fatigué pour utiliser cette attaque!
StyleProcessor.TryToUseStyle.MustHaveTarget:      Vous devez avoir une cible pour executer votre prochaine attaque!
StyleProcessor.TryToUseStyle.NoLongerPreparing:      Vous ne preparez plus votre {0}!
StyleProcessor.TryToUseStyle.PerformStyleBefore:   Vous devez executer Votre {0} Avant celle ci!
StyleProcessor.TryToUseStyle.PreparePerform:      Vous vous preparé a executer {0}!
StyleProcessor.TryToUseStyle.StyleRequires:      Cette attaque Require une {0} arme! 

# HOUSING
HouseEnterLeave.TooFarAway:					Vous êtes trop loin pour entrer dans la maison {0}.
HouseEnterLeave.CantEnter:					Vous ne pouvez pas entrer dans la maison {0}.
HousingDecorationRotate.Rotated:			Objet d'interieur pivoté de {0} degrés à {1} degrés.
HousingPickupItemHandler.GardenRemoved:		Objet de jardin retiré.
HousingPickupItemHandler.PickUp:			Vous mettez {0} dans votre inventaire.
HousingPlaceItemHandler.30objects:			Vous avez déjà placé 30 objets. Vous ne pouvez pas en placer plus.
HousingPlaceItemHandler.40objects:			Vous avez déjà placé 40 objets. Vous ne pouvez pas en placer plus.
HousingPlaceItemHandler.CantFloor:			Cet objet ne peut pas être placé sur le sol !
HousingPlaceItemHandler.CantWall:			Cet objet ne peut pas être placé sur un mur !
HousingPlaceItemHandler.DropOnFloor:		Vous déposez l'objet {0} sur le sol de votre maison.
HousingPlaceItemHandler.DropOnGarden:		Vous déposez l'objet {0} dans votre jardin.
HousingPlaceItemHandler.DropOnWall:			Vous déposez l'objet {0} sur le mur de votre maison.
HousingPlaceItemHandler.GardenObjectPlaced:	Objet de jardin placé. {0} places restantes.
HousingPlaceItemHandler.HasPorch:			Cette maison a déjà un porche !
HousingPlaceItemHandler.HasNoPorch:			Cette maison n'a pas de porche !
HousingPlaceItemHandler.IndoorObjectPlaced:	Objet interieur placé. {0} places restantes.
HousingPlaceItemHandler.NoHookpoint:		Il n'y a plus de point d'ancrage !
HousingPlaceItemHandler.PutMoney:			Vous déposez de l'argent sur le compte de votre maison.

# /Housing
Scripts.Player.Housing.BadShieldBanner:			Ce n'est pas un objet ou une baniere valide.
Scripts.Player.Housing.CantBeSold:			Cet objet ne peut être vendu!
Scripts.Player.Housing.CarpetsRemoved:			Votre tapis à été retirer.
Scripts.Player.Housing.EnteredHouse:			Entrée dans la maison numéro {0}.
Scripts.Player.Housing.GardenItemPlaced:		Objets du jardin placer. {0} places restante.
Scripts.Player.Housing.GardenItemPlacedName:		Vous déposez l'objet {0} dans votre jardin.
Scripts.Player.Housing.GardenMaxObjects:		Vous avez déposer un nombre de 30 objets dans votre jardin. Vous n'avez plus de place.
Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} posséde maintenant une maison de guilde de {1}!
Scripts.Player.Housing.HookPointAdded:			Cet objet a été ajouter à votre maison.
Scripts.Player.Housing.HookPointCloser:			Tenez vous le plus prêt possible du lot désirer et appuyez sur "accepter".
Scripts.Player.Housing.HookPointID:			L'id du point d'ancrage est: {0}
Scripts.Player.Housing.HookPointLogged:			La position du point d'ancrage {0} est dans error.log!
Scripts.Player.Housing.HookPointLogLoc:			Afficher les points d'ancrage?
Scripts.Player.Housing.HookPointNot:			Ce n'est pas un item utilisable sur les ancrages!
Scripts.Player.Housing.HookPointNotPlaced:		L'objet n'a pas était placer sur cet ancrage.
Scripts.Player.Housing.HouseUseMaterial:		Utiliez shift+clic-droit dans votre maison pour changer l'apparence de votre maison.
Scripts.Player.Housing.HouseUseMaterial:		Utiliez shift+clic-droit dans votre maison pour changer vos tapis.
Scripts.Player.Housing.IndoorFloorPlaced:		Vous avez placer {0} dans l'étage de votre maison.
Scripts.Player.Housing.IndoorItemPlaced:		Objet interieure placer. {0} places restante.
Scripts.Player.Housing.IndoorMaxItems:			Vous avez actuellement placer {0} objets dans votre maison. Vous ne pouvez plus en placer.
Scripts.Player.Housing.IndoorWallPlaced:		Vous vennez de placer {0} sur le mur de votre maison.
Scripts.Player.Housing.InteriorBannersAdded:		Votre banniére de guilde interieure a été changer.
Scripts.Player.Housing.InteriorBannersRemoved:		Votre banniére de guilde interieure a été retirer.
Scripts.Player.Housing.InteriorShieldsAdded:		Votre emblème de guilde interieure a été changer.
Scripts.Player.Housing.InteriorShieldsRemoved:		Votre emblème de guilde interieure a été retirer.
Scripts.Player.Housing.LeftHouse:			Sortie de la maison {0}.
Scripts.Player.Housing.LotAlready:			Vous possédez déjà un autre lot ou une maison (numero {0})
Scripts.Player.Housing.LotBought:			Vous vennez d'acheter ce lot pour {0}!
Scripts.Player.Housing.LotCost:				Il peut être acheté pour {0}.
Scripts.Player.Housing.LotNotItem:			Ce n'est pas un acte de propriété valide.
Scripts.Player.Housing.LotNotYours:			Vous ne possédez pas ce lot!
Scripts.Player.Housing.LotOffer:			Voulez-vous acheter ce lot? Il coûte {0}.
Scripts.Player.Housing.LotTargeted:			Vous selectionnez le lot numero {0}.
Scripts.Player.Housing.NotFloorObject:			Cet objet ne peut pas être placé à l'étage!
Scripts.Player.Housing.NotHookPoint:			Cet objet ne peut pas être placé sur l'ancrage!
Scripts.Player.Housing.NotWallObject:			Cet objet ne peut pas être placé sur le mur!
Scripts.Player.Housing.OutdoorBannersAdded:		Votre banniére de guilde extérieure a été changer.
Scripts.Player.Housing.OutdoorBannersRemoved:		Votre banniére de guilde extérieure a été retirer.
Scripts.Player.Housing.OutdoorShieldsAdded:		Votre emblème de guilde extérieure a été changer.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Votre emblème de guilde extérieure a été retirer.
Scripts.Player.Housing.PaidChanges:			Vous payez {0} pour effectuer les changements.
Scripts.Player.Housing.PaidNotEnough:			Vous n'avez pas assez d'argent pour faire cela!
Scripts.Player.Housing.PorchAlready:			Cette maison a déjà un porche!
Scripts.Player.Housing.PorchNone:			Cette maison ne contient pas de porche!
Scripts.Player.Housing.PorchNotItem:			Ce n'est pas un item pour le porche!
Scripts.Player.Housing.TransferToGuild:			Vous voulez transférer cette maison à {0}?

# TRAINER
# /GameTrainer
GameTrainer.AddGift.NotEnoughSpace:			Plus de place dans votre inventaire pour recevoir votre cadeau. Faites de la place !
GameTrainer.GetExamineMessages.RightClick:	[Cliquez-droit pour afficher une fenêtre d'entrainement]
GameTrainer.GetExamineMessages.YouExamine:	Vous observez {0}. {1} est {2} et entraine les membres de la classe {3}.
GameTrainer.GetExamineMessages.YouTarget:	Vous ciblez [{0}].
GameTrainer.PromotePlayer.Accepted:			Vous avez été accepté par le {0}!
GameTrainer.PromotePlayer.Says:				{0} dit, "{1}"
GameTrainer.PromotePlayer.Upgraded:			vous avez été promu à la classe de {0} !
GameTrainer.ReceiveItem.RespecFull:			Un superbe {0}! J'ai recu une possibilité de respécialisation totale. Pour utiliser: /respec all.
GameTrainer.ReceiveItem.RespecRealm:		Merci, j'ai recu une possibilité de respécialisation de royaume. Pour utiliser: /respec realm.
GameTrainer.ReceiveItem.RespecSingle:		Merci, j'ai recu une possibilité de respécialisation simple. Pour utiliser: /respec <linename>

# KING THRONE NPC
CLWeaponNPC.ReceiveItem.RespecCL:			Merci, j'ai recu une possibilité de respécialisation des compétences de champion. Pour utiliser: /respec cl.
KingNPC.WhisperReceive.IsNowChampion:		Vous venez de devenir un champion!
KingNPC.WhisperReceive.AlreadyChampion:		Vous êtes déjà un champion!
KingNPC.WhisperReceive.AskForChampion:		Souaitez vous faire partie des [champions] de notre royaume?

# /EnchanterTrainer
EnchanterTrainer.Interact.PathOfEssence:		{0} dit, "Voulez-vous vous devenir un Enchanteur et suivre la voix des magiciens?  La vie d'un [Enchanteur] en vaut la peine mais elle est dangereuse, mais cela est votre demande."
EnchanterTrainer.Interact.QuickStudy:			{0} dit, "Vous êtes un bon élève, {1}. Mais ne soyez pas trop rapide dans votre approche du combat. Il y a toujours plus pour apprendre."
EnchanterTrainer.Interact.SeekElsewhere:		{0} dit, "Vous devez allez ailleurs pour votre entraînement."
EnchanterTrainer.WhisperReceive.CaseEnchanter:		Enchanteur
EnchanterTrainer.WhisperReceive.Welcome:		Bienvenue, {0}. À partir de ce jour, vous serez connus comme un Enchanteur. Ici {0}. Prenez ce cadeau pour vous aider dans votre aventure.

# /PlayerPositionUpdateHandler
PlayerPositionUpdateHandler.Endurance:		Vous perdez de l'endurance !
PlayerPositionUpdateHandler.Entered:		Vous êtes entré dans {0}.
PlayerPositionUpdateHandler.FallingDamage:	Vous encaissez des dégats de chute!
PlayerPositionUpdateHandler.FallPercent:	Vous prenez{0}% de votre total de points de vie.
PlayerPositionUpdateHandler.SafeFall:		Les dommages ont été réduits grâce à votre abilité de chute contrôlée!
PlayerPositionUpdateHandler.UnknownZone:	Zone inconnue, retour à votre bind.

# /gameobjects/CustomNPC
# /GameStableMaster
GameStableMaster.HorseName:					horse
GameStableMaster.UnknownWay:				Votre monture ne connait pas la route vers {0}.

# /Blacksmith
Scripts.Blacksmith.CantRepairStacked:		{0} ne peut pas réparer d'objets empilés.
Scripts.Blacksmith.GiveObject:				[Donnez lui un objet à reparer]
Scripts.Blacksmith.InvalidItem:				Objet invalide.
Scripts.Blacksmith.ItsDone:					C'est fait. Votre {0} est prêt(e) pour le combat !
Scripts.Blacksmith.NoNeedRepair:			Cet objet n'a pas besoin d'être réparé.
Scripts.Blacksmith.NotEnoughMoney:			Vous n'avez pas assez d'argent.
Scripts.Blacksmith.ObjectCantRepaired:		Cet objet ne peut pas être réparé.
Scripts.Blacksmith.ObjectRatherOld:			Uhh, Cet objet est déja relativement vieux, je ne serais pas en mesure de le réparer de nouveau, faites-y attention !
Scripts.Blacksmith.RepairAccept:			Acceptez vous de réparer {0}?
Scripts.Blacksmith.RepairCost:				Cela vous coutera {0} pour réparer {1}.
Scripts.Blacksmith.RepairFinished:			Bien, c'est terminé. Votre {0} est comme neuf. Revenez si vous avez à nouveau besoin de mes services !
Scripts.Blacksmith.Say:						Je peux reparer armes et armures pour vous, donnez moi juste l'objet que vous souhaitez reparer et je verrais ce que je peux faire, pour un petit coût bien entendu.
Scripts.Blacksmith.StackedObjets:			{0} ne peut pas réparer d'objets empilés.
Scripts.Blacksmith.YouExamine:				Vous observez {0}. C'est un forgeron {1}.
Scripts.Blacksmith.YouPay:					Vous payez {0} {1}.
Scripts.Blacksmith.YouTarget:				Vous ciblez [{0}].

# /packets/Client/168
# /PlayerInitRequestHandler
PlayerInitRequestHandler.AllianceMessage:	Message d'Alliance: {0}
PlayerInitRequestHandler.FreeLevel:			Vous êtes éligible pour un niveau gratuit! Cliquez sur votre entraineur pour le recevoir (ou tapez /freelevel decline pour refuser votre niveau gratuit).
PlayerInitRequestHandler.GuildMessage:		Message de Guilde: 
PlayerInitRequestHandler.LevelCap:			Vous avez excédé la limite de niveau pour ce champs de bataille!
PlayerInitRequestHandler.OfficerMessage:	Message Officiers: {0}
PlayerInitRequestHandler.SaferLocation:		Cette zone n'est actuellement pas sécurisée et vous êtes transporté vers un endroit plus sûr.

# /PlayerMoveItemRequestHandler
PlayerMoveItemRequestHandler.TooFarAway:	Vous êtes trop loin pour donner quoi que ce soit à {0}.

# /world
# AbstractArea
AbstractArea.Entered:						(Region) Vous êtes entrés dans {0}!
AbstractArea.Left:							(Region) Vous avez quitté {0}!

# /Guilds
Scripts.Player.Guild.AccountRemoved:			{0} a été retirer par {1} de la guilde.	
Scripts.Player.Guild.ActiveBuff:			Votre guilde posséde déjà un sort d'amélioration. Vous devez attendre que le sort expire pour le relancer.	
Scripts.Player.Guild.AllianceAlreadyOther:		Cette guilde posséde déjà une alliance.	
Scripts.Player.Guild.AllianceAnsCancel:			L'offre d'alliance a été annulée.	
Scripts.Player.Guild.AllianceDeclined:			Vous décliner la proposition d'alliance.
Scripts.Player.Guild.AllianceDeclinedOther:		L'offre d'alliance a été annulée	
Scripts.Player.Guild.AllianceDisabled:			Les Alliances ne sont pas actif sur ce serveur.	
Scripts.Player.Guild.AllianceIndexNotVal:		La valeur de l'alliance n'est pas un nombre valide.	
Scripts.Player.Guild.AllianceInfo:			Information d'alliance sur {0}:
Scripts.Player.Guild.AllianceInvite:			Vous avez invité une guilde à rejoindre votre alliance.
Scripts.Player.Guild.AllianceInvited:			Vous avez été invités à rejoindre l'alliance de {0}.	
Scripts.Player.Guild.AllianceLeader:			Chef d'alliance {0}	
Scripts.Player.Guild.AllianceMax:			Vous êtes incapables d'inviter cette guilde à votre alliance, car votre alliance contient déjà le nombre de maximum de guildes.	
Scripts.Player.Guild.AllianceMember:			{0} - {1}	
Scripts.Player.Guild.AllianceMembers:			Membres de l'alliance:	
Scripts.Player.Guild.AllianceMemNotSel:			Vous devez choisir un joueur parmi la même alliance.	
