# Language file for DOL
# Language used : GERMAN / DEUTSCH
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.Czech:				Tschechisch
Scripts.Players.Afk.Off:				AFK ausgeschaltet.
Scripts.Players.Afk.On:					AFK eingeschaltet.

# /Anonymous
Scripts.Players.Anonymous.Error:			Anonymer Modus ist deaktiviert.
Scripts.Players.Anonymous.Off:				Anonymer Modus AUS.
Scripts.Players.Anonymous.On:				Anonymer Modus AN.

# /Assist
Scripts.Players.Assist.CantAssistYourself:		Ihr könnt Euch nicht selbst helfen.
Scripts.Players.Assist.DoesntHaveTarget:		 hat zur Zeit kein Ziel.
Scripts.Players.Assist.DontSee:				Ihr seht hier weit und breit niemanden mit dem Namen {0}!
Scripts.Players.Assist.NoTarget:			Ihr müsst einen Mitbürger Eures Heimatreiches aussuchen, dem Ihr helfen wollt.
Scripts.Players.Assist.NotValid:			Hier gibt es niemanden, der so heißt.
Scripts.Players.Assist.YouAssist:			Ihr helft {0}.

# /Autoloot
Scripts.Players.Autoloot.Off:				Euer Autoloot-Status ist AUS. Ihr werdet nicht versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot on', um diese Option anzuschalten.
Scripts.Players.Autoloot.On:				Euer Autoloot-Status ist AN. Wenn Ihr alleine seid oder der Gruppenführer, werdet Ihr versuchen, alle erbeuteten Gegenstände und Münzen automatisch aufzuheben. Benutzt '/autoloot off', um diese Option abzuschalten.

# /Autosplit
Scripts.Players.Autosplit.Coins:			Der Leiter ändert 
Scripts.Players.Autosplit.InGroup:			Ihr müsst für diesen Befehl Mitglied einer Gruppe sein.
Scripts.Players.Autosplit.Leader:			Ihr müsst für diesen Befehl Leiter der Gruppe sein.
Scripts.Players.Autosplit.Loot:				Der Leiter ändert 
Scripts.Players.Autosplit.Off:				Der Leiter hat den Autosplit-Status auf AUS gesetzt.
Scripts.Players.Autosplit.On:				Der Leiter hat den Autosplit-Status auf EIN gesetzt.
Scripts.Players.Autosplit.Self:				{0} ändert 

# /Boot
Scripts.Players.Boot.InHouseError:			Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Boot.NoHouseError:			Ihr besitzt kein Haus!
Scripts.Players.Boot.NoOneOnline:			Niemand ist mit diesem Namen online den Ihr kicken könnt!
Scripts.Players.Boot.YouRemoved:			Ihr wurdet von {0} aus dem Haus geworfen!

# /Bountyrent
Scripts.Players.Bountyrent.InHouseError:		Ihr müsst Euch in Eurem Haus befinden, um diesen Befehl verwenden zu können!
Scripts.Players.Bountyrent.NoHouseError:		Ihr besitzt kein Haus!

# /Broadcast
Scripts.Players.Broadcast.Message:			{0}: **{1}**
Scripts.Players.Broadcast.NoHere:			Ihr könnt hier keinen Rundspruch machen.
Scripts.Players.Broadcast.NoText:			Hmmm...Ihr solltet aufhören, dauernd mit Euch selbst zu reden.

# /Cancelstyle
Scripts.Players.Cancelstyle.Set:			Kampfstil-Abbruch {0}geschaltet.

# /Chatgroup
Scripts.Players.Chatgroup.Help.Help:			/cg help - Zeigt die Hilfe zur Befehlsformulierung an
Scripts.Players.Chatgroup.Help.Invite:			/cg invite <Name> - Lädt einen Spieler in die Chatgruppe ein. Ist dies eine öffentliche Chatgruppe, kann der Befehl von jedem Chatgruppenmitglied benutzt werden, ansonsten nur vom Chatgruppenleiter.
Scripts.Players.Chatgroup.Help.JoinPrivate:		/cg join <Leitername> <Passwort> - Ihr tretet einer öffentlichen, passwortgeschützten Chatgruppe bei.
Scripts.Players.Chatgroup.Help.JoinPublic:		/cg join <Leitername> - Ihr tretet einer öffentlichen Chatgruppe bei.
Scripts.Players.Chatgroup.Help.Leader:			/cg leader <name> - Schaltet einen Spieler als Leiter der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Leave:			/cg leave - Ihr verlasst die Chatgruppe.
Scripts.Players.Chatgroup.Help.Listen:			/cg listen - Schaltet die Chatgruppe auf "Nur lesen". Nur noch der Chatgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordClear:		/cg password clear - Löscht das aktuelle Passwort (Nur Leiter)
Scripts.Players.Chatgroup.Help.PasswordDisplay:		/cg password - Zeigt das aktuelle Passwort (Nur dem Leiter)
Scripts.Players.Chatgroup.Help.PasswordNew:		/cg password <Neues Passwort> - Setz ein (neues) Passwort für die Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Private:			/cg private - Schaltet die Chatgruppe auf Nicht-Öffentlich. Man muss das Passwort oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Public:			/cg public - Schaltet die Chatgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Chatgruppe beitreten. Ausserdem ist sie dann unter "/who CG" finden. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Remove:			/cg remove <Name> - Wirft einen Spieler aus der Chatgruppe. (Nur Leiter)
Scripts.Players.Chatgroup.Help.Usage:			Befehle für "/cg" sind:
Scripts.Players.Chatgroup.Help.Who:			/cg who - Zeigt alle Mitglieder der Chatgruppe.
Scripts.Players.Chatgroup.InChatGroup:			Ihr seid zur Zeit in keiner Chat-Gruppe!
Scripts.Players.Chatgroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Scripts.Players.Chatgroup.JoinChatGroup:		Wollt Ihr der Chat-Gruppe von {0} beitreten?	
Scripts.Players.Chatgroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Chat-Gruppe geben.	
Scripts.Players.Chatgroup.LeaderInvite:			Ihr müsst der Leiter der Chat-Gruppe sein, um einen Spieler einladen zukönnen.
Scripts.Players.Chatgroup.ListenMode:			Der "Nur Lesen"-Status der Chat-Gruppe wurde geändert auf 
Scripts.Players.Chatgroup.Moderator:			{0} ist Moderator geworden.
Scripts.Players.Chatgroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Scripts.Players.Chatgroup.NotChatGroupLeader:		Dieser Spieler ist kein Leiter einer Chat-Gruppe.	
Scripts.Players.Chatgroup.NotChatGroupMember:		Dieser Spieler gehört keiner Chat-Gruppe an.	
Scripts.Players.Chatgroup.NotPublic:			Das ist keine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Chat-Gruppe sprechen.	
Scripts.Players.Chatgroup.OwnChatGroup:			Eurer eigenen Chat-Gruppe könnt Ihr nicht beitreten.
Scripts.Players.Chatgroup.Password:			Das Passwort der Chat-Gruppe lautet: {0}.
Scripts.Players.Chatgroup.PasswordChanged:		Ihr habt das Passwort der Chat-Gruppe geändert in: {0}.	
Scripts.Players.Chatgroup.PlayerInChatgroup:		{0} ist bereits Mitglied einer Chat-Gruppe.	
Scripts.Players.Chatgroup.Private:			Das ist nun eine private Chat-Gruppe.
Scripts.Players.Chatgroup.Public:			Das ist nun eine öffentliche Chat-Gruppe.
Scripts.Players.Chatgroup.Usage:			Verwendet: /c <text>
Scripts.Players.Chatgroup.UsageInvite:			Verwendet: /cg invite <playername>"

# /Cmdhelp
Scripts.Players.Cmdhelp.NoCommand:			Den Befehl {0} gibt es nicht.
Scripts.Players.Cmdhelp.PlvlCommands:			<---------Befehle für Berechtigungsstufe {0}--------->
Scripts.Players.Cmdhelp.Usage:				>-------Befehlsform für {0}-------<

# /Disband
Scripts.Players.Disband.Disbanded:			{o} wurde aus der Gruppe entlassen.
Scripts.Players.Disband.NoPlayer:			In der Gruppe gibt es keinen Spieler mit diesem Namen.
Scripts.Players.Disband.NotInGroup:			Ihr seid zur Zeit in keiner Gruppe.
Scripts.Players.Disband.NotLeader:			Ihr seit nicht der Leiter Eurer Gruppe.
Scripts.Players.Disband.NoYourself:			Auf diesem Wege könnt Ihr die Gruppe nicht verlassen.

# /Dismount
Scripts.Players.Dismount:				Ihr reitet doch garnicht!

# /Duel
Scripts.Players.Duel.ChallengesYou:			{0} fordert Euch zu einem Duell heraus! '/duel accept' lässt den Kampf beginnen, '/duel decline' lehnt die Herausforderung ab.
Scripts.Players.Duel.DuelOptions:			Es gibt folgende '/duel'-Optionen: 'challenge/decline/cancel/surrender/accept'
Scripts.Players.Duel.EnemyRealm:			Ihr könnt Euch nicht mit Spielern aus verfeindeten Reichen duellieren.
Scripts.Players.Duel.NeedTarget:			Ihr braucht schon einen Gegenspieler, den Ihr zum Duell fordern könnt!
Scripts.Players.Duel.ConsideringDuel:			Zur Zeit seid Ihr nicht zu einem Duell aufgefordert worden oder habt selbst jemanden aufgefordert.
Scripts.Players.Duel.NotInDuel:				Ihr befindet Euch zur Zeit in keinem Duell!
Scripts.Players.Duel.PlayerVsPlayer:			{0} ergibt sich {1}!
Scripts.Players.Duel.SafeZone:				Dies ist eine geschützte Zone in der Ihr Euch nicht duellieren könnt!
Scripts.Players.Duel.TargetAccept:			{0} hat die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.TargetAlreadyChallenging:		{0} hat bereits jemand anderes zum Duell gefordert.
Scripts.Players.Duel.TargetAlreadyConsidering:		{0} hat bereits eine andere Duellforderung zugesagt.
Scripts.Players.Duel.TargetCancel:			{0} hat seine Aufforderung zum Duell zurückgezogen.	
Scripts.Players.Duel.TargetDeclines:			{0} hat Euere Duellforderung abgelehnt.
Scripts.Players.Duel.TargetHealth:			Euer Duellgegner muss völlig gesund sein.
Scripts.Players.Duel.TargetInCombat:			{0} kämpft zur Zeit.
Scripts.Players.Duel.TargetInDuel:			{0} befindet sich bereits in einem Duell.
Scripts.Players.Duel.TargetInGroup:			{0} ist Mitglied einer Gruppe.
Scripts.Players.Duel.TargetSurrender:			{0} ergibt sich Euch!
Scripts.Players.Duel.YouAccept:				Ihr habt die Duellforderung angenommen. Auf zum Kampf!
Scripts.Players.Duel.YouAlreadyChallenging:		Ihr habt bereits {0} zu einem Duell herausgefordert. Zieht diese Forderung zuerst zurück, damit Ihr jemand anderes zum Duell auffordern könnt.
Scripts.Players.Duel.YouAlreadyConsidering:		Ihr habt bereits einem Duell mit {0} zugesagt. Zieht diese Zusage erst zurück, bevor Ihr jemand anderes herausfordert.
Scripts.Players.Duel.YouCancel:				Ihr habt Eure Duellforderung zurückgezogen.
Scripts.Players.Duel.YouChallenge:			Ihr fordert {0} zum Duell heraus!
Scripts.Players.Duel.YouDecline:			Ihr habt die Duellforderung von {0} abgelehnt.
Scripts.Players.Duel.YouHaventChallenged:		Ihr habt niemanden zu einem Duell herausgefordert.
Scripts.Players.Duel.YouHealth:				Ihr müsst erst völlig gesund sein.
Scripts.Players.Duel.YouInCombat:			Ihr befindet Euch in einem Kampf.
Scripts.Players.Duel.YouInDuel:				Ihr befindet Euch schon in einem Duell.
Scripts.Players.Duel.YouInGroup:			Ihr seit Mitglied einer Gruppe.
Scripts.Players.Duel.YouSurrender:			Ihr ergebt Euch {0}!

# /Language
Scripts.Players.Language.Current:			Die aktuell auf dem Server angezeigte Sprache ist: {0}.
Scripts.Players.Language.Set:				Ihr ändert die vom Server angezeigte Sprache auf {0}.
