# /Advice
Scripts.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Scripts.Player.Guild.BuffRealmPoints:			Eure Gilde wird für die nächsten 24 Stunden einen 5% Bonus auf Reichspunkte erhalten!
Scripts.Player.Guild.ClaimNotNear:			Ihr müßt Euch in der Nähe der Festung befinden, um Euren Anspruch geltend machen zu können.
Scripts.Player.Guild.ConfirmLeave:			Wollt Ihr {0} wirklich verlassen?
Scripts.Player.Guild.DemotedHigherThanPlayer:		Das steht Euch nicht zu!
Scripts.Player.Guild.DemotedOther:			{0} wurde zum {1} degradiert.	
Scripts.Player.Guild.DemotedSelf:			Ihr wurdet zum {0} degradiert.	
Scripts.Player.Guild.DepositAmount:			Ihr zahlt {0} auf das Konto Eurer Gilde ein.
Scripts.Player.Guild.DepositFull:			Es scheint, als ob das Konto Eurer Gilde voll ist.
Scripts.Player.Guild.DepositInvalid:			Das ist kein gültiger Betrag.
Scripts.Player.Guild.DepositTooMuch:			Ihr habt dafür nicht genug Geld!
Scripts.Player.Guild.DuesOff:				Es werden zur Zeit keine Gildenabgaben gefordert.
Scripts.Player.Guild.DuesOn:				Die Gildenabgaben belaufen sich zur Zeit auf {0} Prozent.
Scripts.Player.Guild.EmailSet:				Ihr habt die E-Mail-Adresse für die Gilde auf {0} geändert.
Scripts.Player.Guild.EmblemAlready:			Eure Gilde hat bereits ein Abzeichen, aber Ihr könnt es für einen stattlichen Betrag von 100 Gold ändern. Wenn Ihr das dennoch zu tun wünscht, sprecht noch einmal mit dem Siegelmacher.	
Scripts.Player.Guild.EmblemNeedGold:			Ihr benötigt 200 Gold für ein neues Gildenabzeichen.
Scripts.Player.Guild.EmblemNeedNPC:			Ihr müßt mit dem Siegelmacher sprechen.
Scripts.Player.Guild.EmblemNPCNotSelected:		Ihr müßt mit dem Siegelmacher sprechen.	
Scripts.Player.Guild.EmblemRedo:			Wollt Ihr ein neues Gildenabzeichen für 100 Gold erwerben?
Scripts.Player.Guild.FormNoGroup:			Ihr müßt einer Gruppe angehören um eine Gilde zu gründen.
Scripts.Player.Guild.FormNoMembers:			Ihr benötigt {0} Spieler in Eurer Gruppe, um eine Gilde zu gründen.
Scripts.Player.Guild.GuildCreated:			Die Gilde "{0}" wurde gegründet mit {1} als Anführer.
Scripts.Player.Guild.GuildExists:			Diese Gilde gibt es schon.
Scripts.Player.Guild.GuildForceLeave:			{0} hat Dich aus {1} entfernt.
Scripts.Player.Guild.GuildLeave:			Ihr habt Eure Gilde verlassen.
Scripts.Player.Guild.GuildLevelReq:			Eure Gilde ist nicht befugt, diesen Befehl auszuführen.
Scripts.Player.Guild.GuildNotExist:			Diese Gilde gibt es nicht.
Scripts.Player.Guild.Help.GuildACancel:			/gc acancel - eine Einladung für eine Allianz zurückziehen	
Scripts.Player.Guild.Help.GuildAAccept:			/gc aaccept - eine Einladung für eine Allianz annehmen	
Scripts.Player.Guild.Help.GuildAccept:			/gc accept - eine Einladung für eine Gilde annehmen	
Scripts.Player.Guild.Help.GuildADecline:		/gc adecline - eine Einladung für eine Allianz ausschlagen	
Scripts.Player.Guild.Help.GuildAInvite:			/gc ainvite - eine andere Gilde in Eure Allianz einladen	
Scripts.Player.Guild.Help.GuildALeave:			/gc aleave - eure Gilde aus der Allianz entfernen
Scripts.Player.Guild.Help.GuildAlli:			/gc alliance - Informationen zu einer Allianz anzeigen	
Scripts.Player.Guild.Help.GuildAMotd:			/gc amotd <text> - Willkommensbotschaft für eine Allianz ändern	
Scripts.Player.Guild.Help.GuildARemove:			/gc aremove - aus der Allianz austreten (betrifft alle in der Gilde)	
Scripts.Player.Guild.Help.GuildARemoveAlli:		/gc aremove alliance [#] - eine Gilde aus der Allianz ausschliessen (ID erforderlich)
Scripts.Player.Guild.Help.GuildAutoRemove:		/gc autoremove <playername> - entfernt einen Charakter aus der Gilde, auch wenn dieser nicht eingeloggt ist
Scripts.Player.Guild.Help.GuildAutoRemoveAcc:		/gc autoremove account <playername> - entfernt alle Charakter eines Spielers aus der Gilde, auch wenn dieser nicht eingeloggt ist
Scripts.Player.Guild.Help.GuildBannerSummon:		/gc summon - hisst das Gildenbanner, sofern vorhanden	
Scripts.Player.Guild.Help.GuildBuff:			/gc buff <artifact, crafting, rps, bps, xp or mlxp> - einen Bonuszauber für die Gilde kaufen	
Scripts.Player.Guild.Help.GuildBuyBanner:		/gc buybanner - ein Gildenbanner kaufen	
Scripts.Player.Guild.Help.GuildCancel:			/gc cancel <option> [value] - alle vorherigen Befehle zurückziehen	
Scripts.Player.Guild.Help.GuildClaim:			/gc claim - eine Festung für die Gilde in Anspruch nehmen
Scripts.Player.Guild.Help.GuildDecline:			/gc decline - eine Einladung für eine Gilde ausschlagen	
Scripts.Player.Guild.Help.GuildDemote:			/gc demote <rank#> [name] - einen Spieler degradieren (gültige Ränge: 0-10)	
Scripts.Player.Guild.Help.GuildDeposit:			/gc deposit <amount> - Geld auf das Gildenkonto einzahlen	
Scripts.Player.Guild.Help.GuildDues:			/gc dues <amount> - Gildenabgaben verlangen (0-100%)	
Scripts.Player.Guild.Help.GuildEdit:			/gc edit - zeige eine Liste der für /gc edit verfügbaren Optionen an	
Scripts.Player.Guild.Help.GuildEditACHear:		/gc edit <ranknum> achear <y/n> - bestimmt ob der Rang den Allianz-Chat hören kann oder nicht
Scripts.Player.Guild.Help.GuildEditACSpeak:		/gc edit <ranknum> acspeak <y/n> - bestimmt ob der Rang im Allianz-Chat schreiben kann oder nicht
Scripts.Player.Guild.Help.GuildEditAlli:		/gc edit <ranknum> alli <y/n>-  bestimmt ob der Rang einer Allianz beitreten oder diese verlassen kann (ernennt einen Diplomaten)
Scripts.Player.Guild.Help.GuildEditClaim:		/gc edit <ranknum> claim <y/n> - bestimmt ob der Rang eine Festung/einen Turm beanspruchen kann
Scripts.Player.Guild.Help.GuildEditDues:		/gc edit <ranknum> dues <y/n> - bestimmt ob der Rang die Gildensteuer aktivieren/deaktivieren kann oder nicht
Scripts.Player.Guild.Help.GuildEditEmblem:		/gc edit <ranknum> emblem <y/n> - bestimmt ob der Rang das Gildenwappen tragen darf oder nicht
Scripts.Player.Guild.Help.GuildEditGCHear:		/gc edit <ranknum> gchear <y/n> - bestimmt ob der Rang den Gildenchat hören kann oder nicht	
Scripts.Player.Guild.Help.GuildEditGCSpeak:		/gc edit <ranknum> gcspeak <y/n> - bestimmt ob der Rang im Gildenchat reden kann oder nicht
Scripts.Player.Guild.Help.GuildEditInvite:		/gc edit <ranknum> invite <y/n> - bestimmt ob der Rang neue Gildenmitglieder einladen darf oder nicht
Scripts.Player.Guild.Help.GuildEditOCHear:		/gc edit <ranknum> ochear <y/n> - bestimmt ob der Rang den Offizierschat hören kann oder nicht
Scripts.Player.Guild.Help.GuildEditOCSpeak:		/gc edit <ranknum> ocspeak <y/n> - bestimmt ob der Rang im Offizierschat reden kann oder nicht
Scripts.Player.Guild.Help.GuildEditPromote:		/gc edit <ranknum> promote <y/n> - bestimmt ob der Rang andere Gildenmitglieder befördern oder degradieren darf (maximal bis ein Rang unter seinem eigenen)
Scripts.Player.Guild.Help.GuildEditRankLevel:		/gc edit <ranknum> ranklevel <level> - bestimmt die Rangordnung
Scripts.Player.Guild.Help.GuildEditRelease:		/gc edit <ranknum> release <y/n> - bestimmt ob der Rang eine Festung/einen Turm aufgeben darf
Scripts.Player.Guild.Help.GuildEditRemove:		/gc edit <ranknum> remove <y/n> - bestimmt ob der Rang andere Gildenmitglieder aus der Gilde entfernen darf (maximal bis ein Rang unter seinem eignen)
Scripts.Player.Guild.Help.GuildEditTitle:		/gc edit <ranknum> title <text> - teilt einen Titel dem Rang zu
Scripts.Player.Guild.Help.GuildEditUpgrade:		/gc edit <ranknum> upgrade <y/n> -  bestimmt ob der Rang eine Festung oder einen Turm upgraden (also im Level verändern) darf	
Scripts.Player.Guild.Help.GuildEditView:		/gc edit <ranknum> view <y/n> - edits this rank with the ability to display the /gc info screen	
Scripts.Player.Guild.Help.GuildEditWithdraw:		/gc edit <ranknum> withdraw <y/n> -  bestimmt ob der Rang Geld vom Gildensteuerkonto abheben kann oder nicht
Scripts.Player.Guild.Help.GuildEmail:			/gc email <contact@guildpage.com> - Legt die Emailadresse der Gilde fest. Diese Informationen werden mit /gc info und in den Chroniken angezeigt.
Scripts.Player.Guild.Help.GuildEmblem:			/gc emblem - das Gildenwappen durch einen Gildenregistrar erstellen lassen
Scripts.Player.Guild.Help.GuildForm:			/gc form <Name> - eine Gilde mit allen Gruppenmitgliedern gründen	
Scripts.Player.Guild.Help.GuildGMAddPlayer:		/gc addplayer <player> to <guild> - to add player to guild	
Scripts.Player.Guild.Help.GuildGMCommands:		Game Master commands:	
Scripts.Player.Guild.Help.GuildGMCreate:		/gc create <Name> - Create a new guild with targeted player as leader	
Scripts.Player.Guild.Help.GuildGMPurge:			/gc purge <Name> - Purge a guild completely	
Scripts.Player.Guild.Help.GuildGMRemovePlayer:		/gc removeplayer <player> from <guild> - to remove player from a guild	
Scripts.Player.Guild.Help.GuildGMRename:		/gc rename <OldName> to <NewName - Rename guild from OldName to NewName	
Scripts.Player.Guild.Help.GuildInfo:			/gc info - Anzeige der Gildeninformationen
Scripts.Player.Guild.Help.GuildInvite:			/gc invite [name] -  Spieler in die Gilde einladen, ohne Namensangabe wird anvisierter Spieler eingeladen
Scripts.Player.Guild.Help.GuildLeader:			/gc leader [name] - einen neuen Gildenanführer ernennen
Scripts.Player.Guild.Help.GuildList:			/gc list - Anzeige aller Gilden im Reich
Scripts.Player.Guild.Help.GuildMotd:			/gc motd <text> - Die "Nachricht des Tages" für die Gilde erstellen
Scripts.Player.Guild.Help.GuildNoteSelf:		/gc noteself <note> - erstellt eine Bemerkung zu Eurem Charakter für die Gilde
Scripts.Player.Guild.Help.GuildOMotd:			/gc omotd <text> - Die "Nachricht des Tages" für die Offiziere der Gilde erstellen
Scripts.Player.Guild.Help.GuildPromote:			/gc promote <rank#> [name] - einen Spieler befördern (gültige Ränge: 0-10)
Scripts.Player.Guild.Help.GuildQuit:			/gc quit - die aktuelle Gilde verlassen
Scripts.Player.Guild.Help.GuildRanks:			/gc ranks - Anzeige der Gildenränge
Scripts.Player.Guild.Help.GuildRemAccount:		/gc removeaccount <accountname> - jeden Charakter des Spielers aus der Gilde entlassen
Scripts.Player.Guild.Help.GuildRemove:			/gc remove <playername> - einen Spieler aus der Gilde entlassen
Scripts.Player.Guild.Help.GuildUsage:			Usage:
Scripts.Player.Guild.Help.GuildWebpage:			/gc webpage <the.guildpage.com> - Legt die Gildenwebseite fest. Diese Informationen werden mit /gc info und in den Chroniken angezeigt.
Scripts.Player.Guild.Help.GuildWho:			/gc who - Anzeige aller Gildenmitglieder im Spiel
Scripts.Player.Guild.Help.GuildWithdraw:		/gc withdraw <amount> - hebt eine Summe (in Kupferstücken) vom Gildensteuerkonto ab 	
Scripts.Player.Guild.InCombat:				Ihr könnt das Banner nicht mitten im Kampf einholen!	
Scripts.Player.Guild.InfoAMotd:				Allianznachricht: {0}	
Scripts.Player.Guild.InfoCEmail:			Kontaktemail: {0}	
Scripts.Player.Guild.InfoGDuesBank:			Abgabe: {0} Kasse: {1} Kupfer	
Scripts.Player.Guild.InfoGuild:				Guildeninfo für {0}:	
Scripts.Player.Guild.InfoGuildLevel:			Gildenstufe: {0}	
Scripts.Player.Guild.InfoMotd:				Nachricht:  {0}	
Scripts.Player.Guild.InfoOMotd:				Offiziersnachricht: {0}	
Scripts.Player.Guild.InfoRPBPMP:			Reichspunkte: {0} Kopfgeldpunkte: {1} Erfolgspunkte: {2}	
Scripts.Player.Guild.InfoWebpage:			Webseite: {0}	
Scripts.Player.Guild.InvalidLetters:			Einige dieser Zeichen können nicht verwendet werden.	
Scripts.Player.Guild.InvalidRank:			Das ist kein zugelassener Rang.
Scripts.Player.Guild.InviteDead:			Ihr könnt keinen toten Spieler in Eure Gilde einladen.
Scripts.Player.Guild.InviteNoSelected:			Ihr müsst erst einen Spieler auswählen.
Scripts.Player.Guild.InviteNoSelf:			Ihr könnt Euch nicht selbst einladen.
Scripts.Player.Guild.InviteNotThis:			Dieses Mitglied könnt Ihr nicht einladen.
Scripts.Player.Guild.InviteRecieved:			{0} hat Euch eingeladen seiner Gilde beizutreten.	
Scripts.Player.Guild.InviteSent:			Ihr habt {0} in Eure Gilde eingeladen.	
Scripts.Player.Guild.Keep:				Eure Gilde hat auf {0} Anspruch erhoben.	
Scripts.Player.Guild.LevelUp:				[Guilde] Eure Gilde hat Stufe {0} erreicht!	
Scripts.Player.Guild.LoginsOff:				Ihr werdet nicht länger über die Anmeldung eines Gildenmitgliedes informiert, gebt "/gc logins" ein, um wieder eine Mitteilung zu bekommen.
Scripts.Player.Guild.LoginsOn:				Ihr werdet wieder über die Anmeldung eines Gildenmitgliedes informiert, gebt "/gc logins" ein, um keine Mitteilung mehr zu bekommen.
Scripts.Player.Guild.MadeLeader:			Ihr seid nun der Leiter von {0}.	
Scripts.Player.Guild.MadeLeaderOther:			{0} wurde zum Leiter von {1} gemacht.
Scripts.Player.Guild.MemberLogin:			{0} hat diese Welt betreten.
Scripts.Player.Guild.MemberLogoff:			{0} hat diese Welt verlassen.
Scripts.Player.Guild.MemberRemoved:			{0} hat {1} aus der Gilde entlassen.
Scripts.Player.Guild.MeritPointReq:			Eure Gilde hat nicht die erforderliche Anzahl von Erfogspunkten.
Scripts.Player.Guild.MotdSet:				Ihr habt die "Nachricht des Tages" für die Gilde erstellt.
Scripts.Player.Guild.NoKeep:				Für diesen Befehl braucht Ihr eine Festung.
Scripts.Player.Guild.NoPlayerSelected:			Ihr müsst erst einen Spieler auswählen.	
Scripts.Player.Guild.NoPlayersInAcc:			Diesen Spieler gibt es in Eurer Gilde nicht.	
Scripts.Player.Guild.NoPrivilages:			Ihr habt nicht die erforderliche Berechtigung in Eurer Gilde für diesen Befehl.	
Scripts.Player.Guild.NoteSet:				Die Gildennotiz wurde von Euch geändert auf: {0}
Scripts.Player.Guild.NotInYourGuild:			Dieser Spieler gehört nicht zu Eurer Gilde.
Scripts.Player.Guild.NotMember:				Gildenbefehle können nur von Euch genutzt werden, wenn Ihr Mitglied einer Gilde seid.	
Scripts.Player.Guild.OMotdSet:				Ihr habt die "Nachricht des Tages" für die Offiziere Eurer Gilde erstellt.	
Scripts.Player.Guild.PlayerNotFound:			Dieser Spieler ist nicht auf dieser Welt.
Scripts.Player.Guild.PromotedOther:			{0} wurde zum {1} befördert.	
Scripts.Player.Guild.PromotedSelf:			Ihr wurdet zum {0} befördert.	
Scripts.Player.Guild.PromoteHigherThanPlayer:		Ihr könnt nur Ränge vergeben, die unter dem Euren liegen.	
Scripts.Player.Guild.Purged:				{0} wurde gepurged.
Scripts.Player.Guild.RankACHearSet:			Ihr habt {0} the ACHear of the rank {1}.	
Scripts.Player.Guild.RankACSpeakSet:			Ihr habt {0} the ACSpeak of the rank {1}.	
Scripts.Player.Guild.RankAlliSet:			Ihr habt {0} the Alliance of the rank {1}.	
Scripts.Player.Guild.RankBuffSet:			Ihr habt {0} the Buff of the rank {1}.	
Scripts.Player.Guild.RankClaimSet:			Ihr habt {0} the Claim of the rank {1}.	
Scripts.Player.Guild.RankDuesSet:			Ihr habt {0} the Dues of the rank {1}.	
Scripts.Player.Guild.RankEmblemSet:			Ihr habt {0} the emblem of the rank {1}.	
Scripts.Player.Guild.RankGCHearSet:			Ihr habt {0} the GCHear of the rank {1}.	
Scripts.Player.Guild.RankGCSpeakSet:			Ihr habt {0} the GCSpeak of the rank {1}.	
Scripts.Player.Guild.RankInviteSet:			Ihr habt {0} the Invite of the rank {1}.	
Scripts.Player.Guild.RankLevelSet:			Ihr habt die Stufes des Ranges auf {0} geändert.	
Scripts.Player.Guild.RankOCHearSet:			Ihr habt {0} the OCHear of the rank {1}.	
Scripts.Player.Guild.RankOCSpeakSet:			Ihr habt {0} the OCSpeak of the rank {1}.	
Scripts.Player.Guild.RankPromoteSet:			Ihr habt {0} the Promote of the rank {1}.	
Scripts.Player.Guild.RankReleaseSet:			Ihr habt {0} the Release of the rank {1}.	
Scripts.Player.Guild.RankRemoveSet:			Ihr habt {0} the Remove of the rank {1}.	
Scripts.Player.Guild.RankTitleSet:			Ihr habt den Titel des Ranges auf {0} geändert.	
Scripts.Player.Guild.RankUpgradeSet:			Ihr habt {0} the Upgrade of the rank {1}.	
Scripts.Player.Guild.RankViewSet:			Ihr habt {0} the View of the rank {1}.	
Scripts.Player.Guild.RankWithdrawSet:			Ihr habt {0} the Withdraw of the rank {1}.	
Scripts.Player.Guild.ThirdArgNotNum:			Das dritte Argument muss eine Zahl sein.
Scripts.Player.Guild.UnableToCreate:			Die Gilde"{0}" konnte nicht erstellt werden.	
Scripts.Player.Guild.UnableToCreateLead:		Die Gilde "{0}" konnte nicht mit "{1}" als Leiter erstellt werden.	
Scripts.Player.Guild.UnknownCommand:			Unbekannter Befehl. Gebt "/gc help" ein, um mehr Informationen zu erhalten.	
Scripts.Player.Guild.UpgradeNoLevel:			Ihr müsst eine Stufe als Ziel für diese Änderung angeben.	
Scripts.Player.Guild.UpgradeScndArg:			Das zweite Argument muss eine Zahl sein.	
Scripts.Player.Guild.WebpageSet:			Ihr habt die Gildenwebseite auf {0} geändert.	
Scripts.Player.Guild.Withdrawamount:			Ihr nehmt {0} aus der Gildenkasse.	
Scripts.Player.Guild.WithdrawInvalid:			Diese Menge kann nicht entnommen werden.	
Scripts.Player.Guild.WithdrawTooMuch:			Ihr könnt dieses viele Geld nicht aus der Gildenkasse entnehmen.	

# /GC
Scripts.Players.Guild.AllianceInfo:			Allianzinformation für {0}:
Scripts.Players.Guild.AllianceLeader:			Allianzanführer {0}
Scripts.Players.Guild.AllianceMembers:			Allianzmitglieder:
Scripts.Players.Guild.AllianceMember:			{0} - {1}
Scripts.Players.Guild.AllianceNoLeader:			Kein Allianzanführer

# /horse
HorseEmote.MustBeOnMount:				Ihr könnt dies nicht machen während Ihr reitet.
HorseEmote.You:						Ihr
HorseEmote.courbette.ToOthers:				-
HorseEmote.courbette.ToSource:				-
HorseEmote.courbette.NoTargetToOthers:			{0}'s mount performs a courbette.
HorseEmote.courbette.NoTargetToSource:			Your mount performs a courbette.
HorseEmote.graze.ToOthers:				-
HorseEmote.graze.ToSource:				-
HorseEmote.graze.NoTargetToOthers:			{0} lets {1} mount graze.
HorseEmote.graze.NoTargetToSource:			You let your mount graze.
HorseEmote.halt.ToOthers:				{0} orders {1} to halt.
HorseEmote.halt.ToSource:				You order {0} to halt.
HorseEmote.halt.NoTargetToOthers:			{0} orders everyone to halt.
HorseEmote.halt.NoTargetToSource:			You order everyone to halt.
HorseEmote.nod.ToOthers:				{0}'s mount nods at {1}.
HorseEmote.nod.ToSource:				Your mount nods at {0}.
HorseEmote.nod.NoTargetToOthers:			{0}'s mount nods.
HorseEmote.nod.NoTargetToSource:			Your mount nods.
HorseEmote.pet.ToOthers:				-
HorseEmote.pet.ToSource:				-
HorseEmote.pet.NoTargetToOthers:			{0} pets {1} mount.
HorseEmote.pet.NoTargetToSource:			You pet your mount.
HorseEmote.rear.ToOthers:				{0}'s mount rears at the sight of {1}.
HorseEmote.rear.ToSource:				Your mount rears at the sight of {0}.
HorseEmote.rear.NoTargetToOthers:			{0}'s mount rears.
HorseEmote.rear.NoTargetToSource:			Your mount rears.
HorseEmote.startle.ToOthers:				{0}'s mount is startled by {1}.
HorseEmote.startle.ToSource:				Your mount is startled by {0}.
HorseEmote.startle.NoTargetToOthers:			{0}'s mount is startled.
HorseEmote.startle.NoTargetToSource:			Your mount is startled.
HorseEmote.trick.ToOthers:				{0} stands on {2} mount to impress {1}.
HorseEmote.trick.ToSource:				You stand on your mount to impress {0}.
HorseEmote.trick.NoTargetToOthers:			{0} stands on {1} mount to impress everyone.
HorseEmote.trick.NoTargetToSource:			You stand on your mount to impress everyone.

# /Language
Scripts.Players.Language.Current:			Die aktuell auf dem Server angezeigte Sprache ist: {0}.
Scripts.Players.Language.Set:				Ihr ändert die vom Server angezeigte Sprache auf {0}.

# /Range
Scripts.Players.Range.InvalidObject:			Dieser Befehl ist nur bei Gegenständen gültig.
Scripts.Players.Range.NeedTarget:			Distanz zum Ziel: Ihr habt kein Ziel ausgewählt.
Scripts.Players.Range.NotVisible:			 (Ziel nicht sichtbar)
Scripts.Players.Range.Result:				Distanz zum Ziel: {0} Einheiten. {1}

# /ViewReport
Scripts.Player.ViewReport.Help.Close:			'/viewreport close <report #>' Schließt den Bericht mit der ID #. 
Scripts.Player.ViewReport.Help.Delete:			'/viewreport delete <report #' Löscht den Bericht mit der ID #. 
Scripts.Player.ViewReport.InvalidReport:		Das ist kein gültiger Bericht.
Scripts.Player.ViewReport.NoPriv:			Ihr seid nicht befugt Berichte zu verändern.
Scripts.Player.ViewReport.ReportDeleted:		Bericht {0} wurde gelöscht. 
Scripts.Player.ViewReport.UnknownCommand:		Das ist kein gültiger Befehl. 
Scripts.Player.VeiwReport.Usage:			Verwendet: 

